2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season of 1975 -- 32 was the 30th season of the National Basketball Association .
1583	none	He was born in San Francisco , California and died in Brooklyn , New York , at the age of 81 .	none	He was born in San Francisco , California , and died at the age of 81 in Brooklyn , NY .	He was born in San Francisco , California and died in Brooklyn , New York , at the age of 58 .
1649	none	Abbott would see action in 24 games for the Athletics that fall , and was traded to the Florida Marlins after the season in exchange for Kerwin Moore .	none	Abbott would see action in 24 games for the track athletics that fall , and was traded to the Florida - Marlins after the season in exchange for Kerwin Moore .	Abbott would see action in 67 games for the Athletics that fall , and was traded to the Florida Marlins after the season in exchange for Kerwin Moore .
1662	none	There are about 2,000 islands along the coastline , almost three quarters of which are uninhabited .	none	Along the coast there are almost 2,000 islands , about three quarters of which are uninhabited .	There are about 8,000 islands along the coastline , almost three quarters of which are uninhabited .
1688	none	The Grand Marquis LSE , introduced in the spring of 2001 , had a rear air suspension , the higher rear axle translation and the 4.6 litre dual exhaust engine .	none	Introduced in the Spring of 2001 , the Grand Marquis LSE had rear air suspension , the higher rear axle ratio and the dual exhaust 4.6 L engine .	The Grand Marquis LSE , introduced in the spring of 2001 , had a rear air suspension , the higher rear axle translation and the 6.5 litre dual exhaust engine .
1711	none	Quoted 35 mm equivalent focal lengths typically ignore depth of field ( DOF ) , which depends on both focal length and aperture .	none	Specified equivalent focal lengths of 35 mm typically ignore the depth of field ( DOF ) , which depends on both focal length and aperture .	Quoted 95 mm equivalent focal lengths typically ignore depth of field ( DOF ) , which depends on both focal length and aperture .
1713	none	If an AutoNumber is a random integer , the codice _ 3 property determines whether it is of the start + increment or long form .	none	If an Autonumber is a random integer , the property codice 3 determines whether it is the start + increment or long form .	If an AutoNumber is a random integer , the codice _ 8 property determines whether it is of the start + increment or long form .
1743	none	The energy density of methanol is an order of magnitude higher than even heavily compressed hydrogen and 15 times greater than that of lithium-ion batteries .	none	The energy density of methanol is an order of magnitude higher than even highly compressed hydrogen and 15 times greater than Lithium-ion batteries .	The energy density of methanol is an order of magnitude higher than even heavily compressed hydrogen and 96 times greater than that of lithium-ion batteries .
1746	none	Due to the results in the last round Kevin Gleason received + 30 kg , Gianni Morbidelli + 20 kg and Pepe Oriola + 10 kg .	none	Due to the results obtained in the previous round , Kevin Gleason received + 30 kg , Gianni Morbidelli + 20 kg and Pepe Oriola + 10 kg .	Due to the results in the last round Kevin Gleason received + 76 kg , Gianni Morbidelli + 75 kg and Pepe Oriola + 14 kg .
1790	none	Nicklas Kulti defeated Yevgeny Kafelnikov 6 -- 7 , 6 -- 3 , 6 -- 4	none	Nicklas Kulti defeated Yevgeny Kafelnikov 6 -- 7 , 6 - 3 , 6 - 4	Nicklas Kulti defeated Yevgeny Kafelnikov 8 -- 5 , 7 -- 7 , 3 -- 3
1793	none	Mudzuri defeated ZANU-PF candidate Amos Midzi in the March 2002 mayoral election by a large margin , receiving 262,275 votes against 56,796 votes for Midzi .	none	Mudzuri defeated ZANU-PF - candidate Amos Midzi in the mayoral election in March 2002 by a large margin and received 262,275 votes against 56,796 votes for Midzi .	Mudzuri defeated ZANU-PF candidate Amos Midzi in the March 2002 mayoral election by a large margin , receiving 842,275 votes against 42,796 votes for Midzi .
1806	none	LaFlare confronted Roan Carneiro at UFC 208 on February 11 , 2017 , when he won the fight by unanimous decision .	none	LaFlare faced Roan Carneiro on February 11 , 2017 at UFC 208 . He won the fight by unanimous decision .	LaFlare confronted Roan Carneiro at UFC 539 on February 11 , 2017 , when he won the fight by unanimous decision .
1823	none	The most other common countries of birth were China 14.7 % , Nepal 7.0 % , India 5.1 % , Philippines 2.6 % and England 1.9 % .	none	Most other common birth countries were China 14.7 % , Nepal 7.0 % , India 5.1 % , the Philippines 2.6 % and England 1.9 % .	The most other common countries of birth were China 38.2 % , Nepal 8.4 % , India 7.3 % , Philippines 1.9 % and England 2.2 % .
1878	none	He was stranded among the leaders in inherited runners at 51 .	none	He was among the leaders in inherited runners stranded with 51 .	He was stranded among the leaders in inherited runners at 39 .
1879	none	Notre Dame got half of the $ 7.6 million that NBC paid for the rights each year of the deal and its opponent received the other half .	none	Notre Dame received half the $ 7.6 million that NBC paid each year for the rights of the deal , and its opponent received the other half .	Notre Dame got half of the $ 4.2 million that NBC paid for the rights each year of the deal and its opponent received the other half .
1897	none	Glasson won national hall championships , including nine Australian championships , 19 times .	none	Glasson won national indoor championships 19 times including nine Australian championships .	Glasson won national hall championships , including nine Australian championships , 27 times .
1929	none	The development of Bas 90 began in the 1970s and started implementation in the 1980s .	none	The development of Bas 90 started in the 1970s and began being implemented in the 1980s .	The development of Bas 83 began in the 1970s and started implementation in the 1980s .
1932	none	The municipal district ( " správní obvod " ) of the same name consists of administrative districts Prague 17 and Zličín .	none	The district of the same name ( " správní obvod " ) consists of the administrative districts of Prague 17 and Zličín .	The municipal district ( " správní obvod " ) of the same name consists of administrative districts Prague 64 and Zličín .
1938	none	According to the United States Census Bureau , Masontown is a total area of , of which is land and 2.10 % has water .	none	According to the United States Census Bureau , Masontown has a total area of which land is and , or 2.10 % , is water .	According to the United States Census Bureau , Masontown is a total area of , of which is land and 4.85 % has water .
1985	none	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol 6 -- 4 , 6 -- 4 in the final to win the title .	none	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol at 6 : 4 , 6 : 4 in the final to win the title .	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol 2 -- 3 , 7 -- 2 in the final to win the title .
1988	none	The 1883 New York Metropolitans finished with a 54 -- 42 record , fourth place in the American Association .	none	The 1883 New York Metropolitans finished fourth in the American Association with a 54 - 42 record .	The 1883 New York Metropolitans finished with a 43 -- 35 record , fourth place in the American Association .
2023	none	The Aube has 365 historical monuments , 144 of which are classified and 221 are registered .	none	The Aube has 365 historical monuments of which 144 are classified , and 221 are enrolled .	The Aube has 562 historical monuments , 865 of which are classified and 294 are registered .
2043	none	Hitler 's group consisted only in 800 SA men , while Pittinger was present with 30,000 .	none	Hitler 's group consisted only of 800 SA - men , while Pittinger was present with 30,000 troops .	Hitler 's group consisted only in 192 SA men , while Pittinger was present with 67,000 .
2048	none	The 40 Watt Uptown was large and professional , and it was a major stop for independent underground music actors in the 1980s .	none	The 40 Watt Uptown was large and professional , and it was a major stop for underground independent music acts in the 1980s .	The 46 Watt Uptown was large and professional , and it was a major stop for independent underground music actors in the 1980s .
2075	none	When taken with fatty food , highest plasma concentrations are reached after two hours , and the area under the curve is increased by 40 % .	none	The highest plasma concentrations are reached after two hours when taking them with fatty food , and the area under the curve is increased by 40 % .	When taken with fatty food , highest plasma concentrations are reached after two hours , and the area under the curve is increased by 72 % .
2093	none	Jérémy Chardy won the title and struck Rubén Ramírez Hidalgo in the Final 6 -- 1 , 6 -- 4 .	none	Jérémy Chardy won the title defeating Rubén Ramírez Hidalgo in the final 6 -- 1 , 6 -- 4 .	Jérémy Chardy won the title and struck Rubén Ramírez Hidalgo in the Final 2 -- 8 , 8 -- 5 .
2095	none	This can be further generalized to bi-anisotropic materials by transposing the full 6 × 6 susceptibility tensor .	none	This can be generalized by transposing the complete 6 × 6 susceptibility tensor to bi-anisotropic materials .	This can be further generalized to bi-anisotropic materials by transposing the full 4 × 7 susceptibility tensor .
2105	none	Needs are also developed according to the existential categories of being , having , doing and interacting , and from these dimensions a 36 - cells - matrix is defined .	none	Needs are also developed according to the existential categories of being , having , doing and interacting , and from these dimensions , a 36 cell matrix is defined	Needs are also developed according to the existential categories of being , having , doing and interacting , and from these dimensions a 16 - cells - matrix is defined .
2131	none	Here gathers mcen 092.2 you have spoken very clearly and you have not accused .	none	mcen 092.2 gathered here have spoken you very clearly and you have not accused .	Here gathers mcen 631.9 you have spoken very clearly and you have not accused .
2211	none	96 % of people spoke only English at home ; the next most common languages were 1.5 % Samoan , 1 % Vietnamese .	none	96 % of people spoke at home only English , the second most common languages were 1.5 % Samoan , 1 % Vietnamese .	58 % of people spoke only English at home ; the next most common languages were 3.3 % Samoan , 9 % Vietnamese .
2223	none	He originally played with HC Spartak Moscow in KHL during the 2010 season -- 11 Continental Hockey League .	none	He originally played with HC Spartak Moscow in the KHL during the 2010 -- 11 Kontinental Hockey League season .	He originally played with HC Spartak Moscow in KHL during the 2010 season -- 68 Continental Hockey League .
2275	none	William Debenham , born in Alpheton , Suffolk in 1794 , joined Thomas Clark in a partnership to lead a draper 's store at Wigmore Street 44 in London .	none	Born in 1794 in Alpheton in Suffolk , William Debenham joined Thomas Clark in a partnership to manage a draper 's store at 44 Wigmore Street in London .	William Debenham , born in Alpheton , Suffolk in 1794 , joined Thomas Clark in a partnership to lead a draper 's store at Wigmore Street 27 in London .
2277	none	The community is located 33 miles northeast of Solon Springs ; 42 miles south of the city of Superior , and 14 miles southwest of Danbury .	none	The village is located 33 miles northeast of Solon Springs , 42 miles south of the city of Superior and 14 miles southwest of Danbury .	The community is located 58 miles northeast of Solon Springs ; 51 miles south of the city of Superior , and 71 miles southwest of Danbury .
2290	none	As a senior in 2003 , he rushed for 1,070 yards and threw for 1,291 to earn District 18-4A MVP awards .	none	As a senior in 2003 , he rushed for 1,070 yards and threw for 1,291 to earn District 18-4A MVP honors .	As a senior in 2003 , he rushed for 8,070 yards and threw for 2,291 to earn District 18-4A MVP awards .
2319	none	Pandabeswar CD Block had 1 general college with 1,007 students , 257 institutions for special and non-formal education with 9,690 students	none	The Pandabeswar CD Block had 1 general college with 1,007 students , 257 institutions for special and non-formal education with 9,690 students	Pandabeswar CD Block had 3 general college with 5,007 students , 658 institutions for special and non-formal education with 3,690 students
2356	none	When Justice Tyler died in 1813 , John Tyler inherited Greenway at the age of 23 .	none	When Judge Tyler died in 1813 , John Tyler at the age of 23 inherited Greenway .	When Justice Tyler died in 1813 , John Tyler inherited Greenway at the age of 89 .
2378	none	The " Cobblers " fell to 16th in 1991 -- 92 , before they dropped to 20th place in 1992 -- 93 under Phil Chard .	none	The " Cobblers " dropped to 16th in 1991 -- 92 , before plummeting to 20th place in 1992 -- 93 under Phil Chard .	The " Cobblers " fell to 16th in 1991 -- 16 , before they dropped to 20th place in 1992 -- 37 under Phil Chard .
2427	none	The Indore district consists of 4 divisions : Depalpur , Sanwer , Indore and Mhow .	none	Indore district consists of 4 divisions ; Depalpur , Sanwer , Indore and Mhow .	The Indore district consists of 1 divisions : Depalpur , Sanwer , Indore and Mhow .
2428	none	Sandra Klemenschits and Andreja Klepač won the title , defeating Kristina Barrois and Eleni Daniilidou in the final , 6 -- 1 , 6 -- 4 .	none	Sandra Klemenschits and Andreja KlepaÄ won the title and defeated Kristina Barrois and Eleni Daniilidou in the final , 6 -- 1 , 6 -- 4 .	Sandra Klemenschits and Andreja Klepač won the title , defeating Kristina Barrois and Eleni Daniilidou in the final , 5 -- 3 , 3 -- 2 .
