4955	10 月 3 日：菲尔·图夫尼尔击败詹姆斯·休伊特（命中飞镖双倍区 1 分位置）	3 October: Phil Tufnell defeated James Hewitt (winning Dart Double 1)	October 3: Phil Tufnell beats James Hewitt (1st place in the darts double)	3 October: Phil Tufnell beat James Hewitt (winning dart double 1)	3 October: Phil Tufnell defeated Caleb Hewitt (winning Dart Double 1)	October 3: Cody Tufnell beats James Hewitt (1st place in the darts double)
1638	在那里工作的人包括沃兹米尔兹·索恩教授、让·加多姆斯基博士和尤金纽什·雷布卡教授。	Among those who worked there were professor Wlodzimierz Zonn, doctor Jan Gadomski, and professor Eugeniusz Rybka.	Those working there include Prof. Wozmirz Thorne, Dr. Jean Gadomsky and Prof. Eugenius Rybka.	Among those who worked there were Professor Eugeniusz Rybka, Dr. Jan Gadomski and Professor Wlodzimierz Zonn.	Among those who worked there were professor Wlodzimierz Zonn, doctor Nicholas Gadomski, and professor Eugeniusz Rybka.	Those working there include Prof. Wozmirz Thorne, Dr. Samantha Gadomsky and Prof. Eugenius Rybka.
2125	他还向特德·克鲁兹捐赠 34,000 美元，向米特·罗德尼捐赠 7,000 美元，包括其 2016 年总统竞选。	He also donated $34,000 to Ted Cruz and US $7,000 to Mitt Romney, including his 2016 presidential campaign.	He also donated $34,000 to Ted Cruz and $7,000 to Mitt Rodney, including his 2016 presidential campaign.	He also donated US $34,000 to Ted Cruz and US $7,000 to Mitt Romney, including his 2016 presidential campaign.	He also donated $34,000 to James Cruz and US $7,000 to Mitt Romney, including his 2016 presidential campaign.	He also donated $34,000 to Patrick Cruz and $7,000 to Mitt Rodney, including his 2016 presidential campaign.
2100	仅仅 10 天后，他和艾伦·海尔曼一同转入西雅图水手队，换来罗尼·塞德尼奥。	Just 10 days later he was traded together with Aaron Heilman to the Seattle Mariners for Ronny Cedeño.	Just 10 days later, he and Alan Hellman moved to the Seattle Mariners in exchange for Ronnie Cedeno.	Just 10 days later, he was traded along with Aaron Heilman to the Seattle Mariners for Ronny Cedeño.	Just 10 days later he was traded together with Lucas Heilman to the Seattle Mariners for Ronny Cedeño.	Just 10 days later, he and Richard Hellman moved to the Seattle Mariners in exchange for Ronnie Cedeno.
5726	“天使眼眸”是一首创作于 1946 年的流行歌曲，由厄尔·布伦特作曲，马特·丹尼斯作词。	``Angel Eyes ''is a 1946 popular song composed by Earl Brent, with lyrics by Matt Dennis.	"Angel Eyes" is a 1946 pop song composed by Earl Brent and lyrics by Matt Dennis.	``Angel Eyes ''is a popular song of 1946, composed by Earl Brent, with texts by Matt Dennis.	``Angel Eyes ''is a 1946 popular song composed by Earl William, with lyrics by Matt Dennis.	"Angel Eyes" is a 1946 pop song composed by Adam Brent and lyrics by Matt Dennis.
3809	来自苏里南的杰出女性有詹妮弗·西蒙斯、Marijke Djwalapersad、伊丽莎白·萨姆森、辛西雅·麦克劳德和 Ruth Wijdenbosch。	Among the prominent women of Suriname are Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod, and Ruth Wijdenbosch.	Outstanding women from Suriname are Jennifer Simmons, Marijke Djwalapersad, Elizabeth Samson, Cynthia MacLeod and Ruth Wijdenbosch.	Among Suriname's prominent women are Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod and Ruth Wijdenbosch.	Among the prominent women of Suriname are Kristen Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod, and Ruth Wijdenbosch.	Outstanding women from Suriname are Jennifer Simmons, Marijke Djwalapersad, Lisa Samson, Cynthia MacLeod and Ruth Wijdenbosch.
4877	他以落后巴巴·沃森和路易·乌修仁两杆的成绩结束了比赛，叹息他的推杆表现导致他未能赢得比赛。	He finished two strokes behind Bubba Watson and Louis Oosthuizen and bemoaned his putting performance as the reason he did not win the tournament.	He finished two strokes behind Bubba Watson and Louie Ushureen, lamenting that his putting performance prevented him from winning the game.	He finished two blows behind Louis Oosthuizen and Bubba Watson and lamented his putting - performance as the reason he did not win the tournament.	He finished two strokes behind Bubba Gregory and Louis Oosthuizen and bemoaned his putting performance as the reason he did not win the tournament.	He finished two strokes behind Bubba Noah and Louie Ushureen, lamenting that his putting performance prevented him from winning the game.
6924	1291 年，Mahaut 与奥托四世勃艮第伯爵结婚，与三个孩子的母亲成婚，其中有两个女孩成为法国国王。	In 1291, Mahaut married the count de Burgundy Otto IV, married the mother of three children, including two girls who became kings of France.	In 1291, Mahaut married Otto IV, Count of Burgundy, to the mother of three children, two of whom became kings of France.	In 1291, Mahaut married Otto IV, Count of Burgundy. She married the mother of three children, including two girls who became kings of France.	In 1291, Mahaut married the count Kyle Burgundy Otto IV, married the mother of three children, including two girls who became kings of France.	In 1291, Mahaut married Matthew IV, Count of Burgundy, to the mother of three children, two of whom became kings of France.
6174	与让·科拉利·阿希尔·德维里亚一起描绘阿黛勒·杜米拉特尔的画像。	With Jean Coralli Achille Deveria drew Adèle Dumilâtre.	Portrait of Adele Dumirate with Jean Coralli Arcier de Veria.	Achille Deveria drew Adèle Dumilâtre with Jean Coralli.	With Elizabeth Coralli Achille Deveria drew Adèle Dumilâtre.	Portrait of Adele Dumirate with Chelsea Coralli Arcier de Veria.
3802	弗兰克·詹姆斯加入了为当地德鲁·洛布斯军队招募的分离主义连队，并于 1861 年 8 月参加了威尔逊之战。	Frank James joined a secessionist company recruited for the local Drew Lobbs Army, and fought at the Battle of Wilson's Creek in August 1861.	Frank James joined a Separatist company recruited for the local Drew Lobus army and fought at the Battle of Wilson in August 1861.	Frank James joined a secessionist company, recruited for the local Drew Lobbs Army and fought in the Battle of Wilson's Creek in August 1861.	James James joined a secessionist company recruited for the local Drew Lobbs Army, and fought at the Battle of Wilson's Creek in August 1861.	Kevin James joined a Separatist company recruited for the local Drew Lobus army and fought at the Battle of Wilson in August 1861.
606	弗朗索瓦丝·杜尔以 6-4 和 6-2 击败伊文·古拉贡。	Evonne Goolagong defeated Françoise Dürr by 6 -- 4, 6 - 2.	Françoise Toure defeated Evan Goulagon 6-4, 6-2.	Evonne Goolagong defeated Françoise Dürr 6 -- 4, 6 -- 2.	Mary Goolagong defeated Françoise Dürr by 6 -- 4, 6 - 2.	Françoise Toure defeated Jose Goulagon 6-4, 6-2.
4529	不过，麦当娜、普林斯和迈克尔·杰克逊都对该专辑产生了影响。	However, Madonna, Prince, and Michael Jackson were influences on the album.	However, Madonna, Prince and Michael Jackson all had influences on the album.	Madonna, Prince and Michael Jackson, however, were influenced on the album.	However, Madonna, Prince, and Paul Jackson were influences on the album.	However, Madonna, Steven and Michael Jackson all had influences on the album.
5318	“陶顿城堡号”于 8 月 1 日在槟城，于 10 月 31 日在里约热内卢。	``Taunton Castle ''was at Penang on 1 August and Rio de Janeiro on 31 October.	Taunton Castle in Penang on August 1 and Rio de Janeiro on October 31.	``Taunton Castle ''was in Penang on August 1 and on October 31 in Rio de Janeiro.	``Taunton Castle ''was at Penang on 1 August and Rio Jack Janeiro on 31 October.	Taunton Castle in Penang on August 1 and Rio Christian Janeiro on October 31.
1520	托旺达溪位于布莱德福特郡西南方 ( 41.655805 , -76.850706 ) 的坎顿峡谷内。	Towanda Creek is located in the southwestern part of Bradford County (41.655805, -76.850706), in the canton valley.	Towanda Creek is located in Canton Gorge in southwest Bradfordshire ( 41.655805 , -76.850706 ).	Towanda Creek is located in southwestern Bradford County at (41.655805, -76.850706), in the valley of Canton.	Amy Creek is located in the southwestern part of Bradford County (41.655805, -76.850706), in the canton valley.	Towanda Creek is located in Canton Caleb in southwest Bradfordshire ( 41.655805 , -76.850706 ).
5398	David David Hayes Prophater 担任报幕员，而杰夫·斯科特带领观众欣赏无乐器伴奏的歌唱。	David David Hayes Prophater served as announcer, and Jeff Scott led the audience in an A cappella singing.	David David Hayes Prophater served as announcer, while Jeff Scott led the audience through unaccompanied singing.	David Hayes Prophater served as the announcer and Jeff Scott led the audience in a cappella singing.	David David Adrian Prophater served as announcer, and Jeff Scott led the audience in an A cappella singing.	David David Derek Prophater served as announcer, while Jeff Scott led the audience through unaccompanied singing.
4515	她成了瓦尔、鲍里斯和罗莎琳德·洛温的母亲，她的女儿是心理学教授。	She became the mother of Val, Boris and Rosalind Lorwin, her daughter was professor of psychology.	She became the mother of Val, Boris and Rosalind Lowen, whose daughter is a professor of psychology.	She became the mother of Val, Boris and Rosalind Lorwin. Her daughter was a psychology professor.	She became the mother of Val, Jeffrey and Rosalind Lorwin, her daughter was professor of psychology.	She became the mother of Val, Shawn and Rosalind Lowen, whose daughter is a professor of psychology.
2094	他曾与弗朗西斯科·格里马尔迪、Bartolomeo Picchiatti 及 Giovan Giacomo Di Conforto 等当代建筑师有过合作。	He collaborated with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He has collaborated with contemporary architects such as Francisco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He worked together with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He collaborated with contemporary architects such as Tyler Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He has collaborated with contemporary architects such as Francisco Grimaldi, Bartolomeo Picchiatti and Giovan Michael Di Conforto.
6449	迈克尔·埃里克·雷德（森金·范·克里夫），好莱坞艺术学院的另一名学生，在冲浪设备故障时掉进了浴缸。	Michael Eric Reid (Sinjin Van Cleef), another student at Hollywood Arts, falls into the jacuzzi, when a surfing machine malfunctions.	Michael Eric Reid (Senkin Van Cleef), another student at the Hollywood Institute of the Arts, falls into a bathtub when his surfing equipment fails.	Sinjin Van Cleef (Michael Eric Reid), another student at Hollywood Arts, falls into the Jacuzzi when a surfing machine fails.	Michael Gabriel Reid (Sinjin Van Cleef), another student at Hollywood Arts, falls into the jacuzzi, when a surfing machine malfunctions.	Michael Benjamin Reid (Senkin Van Cleef), another student at the Hollywood Institute of the Arts, falls into a bathtub when his surfing equipment fails.
5482	汤普森的弟弟朱莉娅于 1863 年出生于俄亥俄州吉奥格县的查尔斯马丁霍尔。	The younger brother of Thompson, Julia, was born in Charles Martin Hall, Geauga County, Ohio in 1863.	Thompson's younger brother, Julia, was born in Charles Martin Hall in Giorg County, Ohio in 1863.	Thompson's younger brother, Julia, was born in 1863 in Charles Martin Hall, Geauga County, Ohio.	The younger brother of Thompson, Julia, was born in Charles Joseph Hall, Geauga County, Ohio in 1863.	Thompson's younger brother, Julia, was born in Kenneth Martin Hall in Giorg County, Ohio in 1863.
5781	梅洛迪·克里滕登于 2004 年离开该团体单飞，而妮可在 2005 年的大部分时间在该团体演唱。	Melodie Crittenden left the group in 2004 to pursue a solo career, and for most of 2005 Nicol sang with the group.	Melody Crittenden left the group to go solo in 2004, while Nicole sang with the group for most of 2005.	Melodie Crittenden left the group in 2004 to follow a solo career, and for most of the year 2005 Nicol sang with.	Emma Crittenden left the group in 2004 to pursue a solo career, and for most of 2005 Nicol sang with the group.	Melody Crittenden left the group to go solo in 2004, while Tara sang with the group for most of 2005.
6345	罗伯特·文森特·戈尔兹伯勒于 1937 年 10 月 3 日出生于芝加哥，为建筑师罗伯特·戈尔兹伯勒和威尔玛·（亚纳克）戈尔兹伯勒之子。	Robert Vincent Goldsborough was born October 3, 1937, in Chicago, the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.	Robert Vincent Goldsboro was born in Chicago on October 3, 1937, the son of architects Robert Goldsboro and Wilma (Yanack) Goldsboro.	Vincent Goldsborough was born in Chicago on October 3, 1937, the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.	Jonathan Vincent Goldsborough was born October 3, 1937, in Chicago, the son of architect Jonathan Goldsborough and Wilma (Janak) Goldsborough.	Luke Vincent Goldsboro was born in Chicago on October 3, 1937, the son of architects Luke Goldsboro and Wilma (Yanack) Goldsboro.
4929	纳迪亚·卢特菲（生于 1938 年 1 月 3 日，保拉·穆罕默德·穆斯塔法·沙菲克）是一位已息影的埃及女演员。	Nadia Lutfi (born January 3, 1938 in Paula Mohamed Mostafa Shafiq) is a retired Egyptian actress.	Nadia Lutfi (born 3 January 1938, Paula Mohammad Mustafa Shafiq) is an Egyptian actress who has retired.	Nadia Lutfi (born Paula Mohamed Mostafa Shafiq; 3 January 1938) is a retired Egyptian actress.	Nadia Lutfi (born January 3, 1938 in Natalie Mohamed Mostafa Shafiq) is a retired Egyptian actress.	Lisa Lutfi (born 3 January 1938, Paula Mohammad Mustafa Shafiq) is an Egyptian actress who has retired.
5218	马克·艾伦以 1-0 (104-0) 战胜马丁·古尔德而赢得决赛。	Mark Allen won the final 1 -- 0 (104 -- 0) against Martin Gould.	Mark Allen won the final with a 1-0 (104-0) victory over Martin Gould.	Mark Allen won the final against Martin Gould with 1: 0 (104 -- 0).	Mark Allen won the final 1 -- 0 (104 -- 0) against Thomas Gould.	Jesse Allen won the final with a 1-0 (104-0) victory over Martin Gould.
7515	赫克托博士、寇迪和克里斯蒂找到了将佛利斯特扣为人质的克里斯蒂博士。	Dr. Hector, Cody and Christie find Dr. Christie, who takes Forrest hostage.	Dr. Hector, Cody, and Christie find Dr. Christie, who is holding Forrester hostage.	Hector, Cody, and Christie find Dr. Christie who takes Forrest hostage.	Dr. Hector, Cody and Amy find Dr. Amy, who takes Forrest hostage.	Dr. Hector, Cody, and Isabella find Dr. Isabella, who is holding Forrester hostage.
6454	19 世纪，批判更为激烈：巴洛克式评论家约翰·罗斯金声称英国雕塑不仅拙劣，而且败坏道德。	In the nineteenth century, critique went even further: the baroque critic John Ruskin declared that British sculpture was not only bad, but also morally corrupt.	In the 19th century, the criticism was more intense: the Baroque critic John Ruskin claimed that British sculpture was not only clumsy but also morally corrupt.	In the 19th century, criticism went even further; the baroque critic John Ruskin declared that British sculpture was not only bad, but also morally corrupt.	In the nineteenth century, critique went even further: the baroque critic Daniel Ruskin declared that British sculpture was not only bad, but also morally corrupt.	In the 19th century, the criticism was more intense: the Baroque critic Mark Ruskin claimed that British sculpture was not only clumsy but also morally corrupt.
1366	接下来，耶尔与演员 Darshan 一起出现在卡纳达语电影《Jaggu Dada》中。	Next appeared Iyer in the Kannada - film ``Jaggu Dada ''with the actor Darshan.	Next, Yael appeared in the Kannada-language film Jaggu Dada alongside actor Darshan.	Iyer next appeared in the Kannada film ``Jaggu Dada ''with actor Darshan.	Next appeared Iyer in the Kannada - film ``Jaggu Dada ''with the actor Hunter.	Next, Yael appeared in the Kannada-language film Jaggu Dada alongside actor Richard.
4307	威廉·哈里斯是威廉·哈里斯的第二个儿子，他的哥哥克里斯托弗·哈里斯是奥克汉普顿的国会议员。	William Harris was the second son of William Harris, his elder brother Christopher Harris was MP for Okehampton.	William Harris is the second son of William Harris, and his older brother Christopher Harris is MP for Oakhampton.	Harris was the second son of William Harris. His elder brother, Christopher Harris, was MP for Okehampton.	Steven Harris was the second son of Steven Harris, his elder brother Christopher Harris was MP for Okehampton.	William Harris is the second son of William Harris, and his older brother Ryan Harris is MP for Oakhampton.
4809	2012 年，吉尔出演了翻拍自萨尔瓦多·罗亚尔电影的电视剧“Mundo Man ay Maguna”，在其中饰演詹妮弗·拉佩纳。	In 2012, Gil became part of the TV - Remake of the Salvador - Royales - Films ''Mundo Man ay Magunaw ``as Jennifer la Pena.	In 2012, Gill starred in the TV series "Mundo Man ay Maguna", a remake of Salvador Royal's film, in which she played Jennifer Rapena.	In 2012, Gil became part of the TV remake of the Salvador Royales film ``Mundo Man ay Magunaw ''as Jennifer la Pena.	In 2012, Kyle became part of the TV - Remake of the Salvador - Royales - Films ''Mundo Man ay Magunaw ``as Jennifer la Pena.	In 2012, Gill starred in the TV series "Mundo Man ay Maguna", a remake of Salvador Royal's film, in which she played Alexis Rapena.
7995	2002 年，英国制作人文森特·斯托姆菲尔德发行此首歌曲，而后 Independiente 将其报道为“甜蜜而和谐 02”。	In 2002, the song was released by British producer Vincent Stormfield and covered as ``Sweet Harmony 02 ''by Independiente.	In 2002, British producer Vincent Stormfield released the song, which Independiente later reported as "Sweet and Harmonious 02".	In 2002, the song was published by the British producer Vincent Stormfield and covered by Independiente as ''Sweet Harmony 02 ``.	In 2002, the song was released by British producer Kevin Stormfield and covered as ``Sweet Harmony 02 ''by Independiente.	In 2002, British producer Patrick Stormfield released the song, which Independiente later reported as "Sweet and Harmonious 02".
7139	从霍基蒂卡到鲁阿塔普为第一部分线路，于 1906 年 11 月 9 日完工，而 1909 年 4 月 1 日全线贯通前往罗斯的线路。	The first section, from Hokitika to Ruatapu, was completed on 9 November 1906, and on 1 April 1909 the complete line on Ross was opened.	The first part of the line from Hokitika to Ruatap was completed on November 9, 1906, and on April 1, 1909, the full line to Ross was completed.	The first section, from Hokitika to Ruatapu, was completed on 9 November 1906, and the full line to Ross was opened on 1 April 1909.	The first section, from Hokitika to Ruatapu, was completed on 9 November 1906, and on 1 April 1909 the complete line on Benjamin was opened.	The first part of the line from Hokitika to Ruatap was completed on November 9, 1906, and on April 1, 1909, the full line to Carlos was completed.
5000	那时，该国的所有者是莱斯利·弗农·卡尔卡特，他同意与约翰逊先生签订 99 年的租约。	At that time, the owner of the country was Leslie Vernon Calcutt, and he agreed to a 99-year lease with Mr Johnson.	At the time, the owner of the country was Leslie Vernon Calcutt, who agreed to a 99-year lease with Mr. Johnson.	The owner of the land at that time was Mr Leslie Vernon Calcutt, and he agreed a 99-year lease with Mr Johnson.	At that time, the owner of the country was Leslie Timothy Calcutt, and he agreed to a 99-year lease with Mr Johnson.	At the time, the owner of the country was Leslie Jeffrey Calcutt, who agreed to a 99-year lease with Mr. Johnson.
6453	亚历山大·鲍姆加特纳（1841 年 6 月 27 日生于瑞士圣加伦，1910 年于卢森堡去世）是诗人和文学史作家。	Alexander Baumgartner (born June 27, 1841 in St. Gallen, Switzerland; died in 1910 in Luxembourg) was a poet and writer on the history of literature.	Alexander Baumgartner (born 27 June 1841 in St. Gallen, Switzerland, died 1910 in Luxembourg) was a poet and writer of literary history.	Alexander Baumgartner (born in St. Gall, Switzerland, 27 June 1841; died Luxembourg, 1910) was a poet and writer on the history of literature.	Aaron Baumgartner (born June 27, 1841 in St. Gallen, Switzerland; died in 1910 in Luxembourg) was a poet and writer on the history of literature.	David Baumgartner (born 27 June 1841 in St. Gallen, Switzerland, died 1910 in Luxembourg) was a poet and writer of literary history.
5647	若昂·马丁斯·佩纳和弗朗西斯科·德·保拉·胡列塔·佩纳出生于里约热内卢，父亲是马丁斯·佩纳。	João Martins Pena and Francisca de Paula Julieta Pena was born in Rio de Janeiro, to Martins Pena.	Joao Martins Pena and Francisco de Paula Julieta Pena were born in Rio de Janeiro to Martins Pena.	João Martins Pena and Francisca de Paula Julieta Pena was born in Rio de Janeiro to Pena Martins.	João Martins Pena and Francisca de Cynthia Julieta Pena was born in Rio de Janeiro, to Martins Pena.	Joao Martins Pena and Francisco de Paula Alicia Pena were born in Rio de Janeiro to Martins Pena.
4074	1960 年，约翰·T·德里斯科尔和帕特里克·F·麦克多诺竞选马萨诸塞州的财务主管和接管人，他在民主党初选中位列第三，仅次于肯尼迪。	In 1960, John T. Driscoll and Patrick F. McDonough ran for Treasurer and Receiver - General of Massachusetts, he was third in the democratic primary behind Kennedy.	In 1960, John T. Driscoll and Patrick F. McDonough ran for Massachusetts treasurer and receiver, and he finished third in the Democratic primary, behind Kennedy.	In 1960, John T. Driscoll and Patrick F. McDonough ran for Treasurer and Receiver-General of Massachusetts. He finished third in the Democratic primary behind Kennedy.	In 1960, Robert T. Driscoll and Patrick F. McDonough ran for Treasurer and Receiver - General of Massachusetts, he was third in the democratic primary behind Kennedy.	In 1960, John T. Driscoll and Mark F. McDonough ran for Massachusetts treasurer and receiver, and he finished third in the Democratic primary, behind Kennedy.
4427	他的父亲是林肯郡下院议员威廉·斯基普威思和安妮·托斯比的私生子。	His father was the illegitimate son of William Skipwith, a Member of Parliament for Lincolnshire, and Anne Tothby.	His father was the illegitimate son of Lincolnshire MPs William Skipwith and Anne Tosby.	His father was the illegitimate son of William Skipwith, a Lincolnshire member of parliament, and Anne Tothby.	His father was the illegitimate son of Brandon Skipwith, a Member of Parliament for Lincolnshire, and Anne Tothby.	His father was the illegitimate son of Lincolnshire MPs Nicholas Skipwith and Anne Tosby.
2552	哈德威克 1997 年出演“加冕街”，饰演娜奥美·拉塞尔，1998 年再度出演，饰演希拉·迪克森。	Hardwick appeared in ``Coronation Street ''in 1997 as Naomi Russell and in 1998 as Sheila Dixon.	Hardwick appeared in "Coronation Street" in 1997 as Naomi Russell, and again in 1998 as Sheila Dixon.	In 1997, she appeared as Naomi Russell in ``Coronation Street ''and in 1998 as Sheila Dixon.	Hardwick appeared in ``Coronation Street ''in 1997 as Alexis Russell and in 1998 as Sheila Dixon.	Hardwick appeared in "Coronation Street" in 1997 as Naomi Russell, and again in 1998 as Sheila Nathan.
6210	在新的电视连续剧《Dead Gorgeous》中，亚历桑德拉·柯平杰扮演幺妹哈泽尔一角。	In the new TV-series ''Dead Gorgeous'', Alexandra Coppinger played the role of the youngest sister Hazel.	In the new TV series "Dead Gorgeous", Alexandra Coppinger plays the youngest sister Hazel.	Alexandra Coppinger played the role of Hazel, the youngest sister, in the new TV series ``Dead Gorgeous ''.	In the new TV-series ''Dead Gorgeous'', Alexandra Coppinger played the role of the youngest sister Heather.	In the new TV series "Dead Gorgeous", Crystal Coppinger plays the youngest sister Hazel.
6348	在第一年里，拉尔科·霍伊尔收到了叔叔维克多·拉尔科·埃雷拉给出的一些建议，他在利马建立了相同的博物馆。	During that first year, Larco Hoyle received some advice from his uncle, Victor Larco Herrera, a founder of the same museum in Lima.	During the first year, Larco Hoyle received some advice from his uncle Victor Larco Herrera, who established the same museum in Lima.	During this first year, Larco Hoyle received some advice from his uncle, Victor Larco Herrera, founder of the same museum in Lima.	During that first year, Larco Hoyle received some advice from his uncle, Isaiah Larco Herrera, a founder of the same museum in Lima.	During the first year, Larco Hoyle received some advice from his uncle Jeffrey Larco Herrera, who established the same museum in Lima.
3975	他的子女是卡洛琳和辛西娅（1970 年逝世）、布伦南、马特·佩洛西、劳伦斯（生于 1971 年）和安德鲁（生于 1981 年）。	His children were Carolyn and Cynthia (died 1970), Brennan, Matt Pelosi, Laurence (born 1971) and Andrew (born in 1981).	His children are Caroline and Cynthia (d. 1970), Brennan, Matt Pelosi, Lawrence (b. 1971) and Andrew (b. 1981).	His children were Carolyn and Cynthia (died 1970), Brennan, Matt Pelosi, Laurence (born 1971) and Andrew (born 1981).	His children were Carolyn and Cynthia (died 1970), Brennan, Matt Pelosi, Laurence (born 1971) and Andrew (born in 1981).	His children are Caroline and Cynthia (d. 1970), Brennan, Paul Pelosi, Lawrence (b. 1971) and Andrew (b. 1981).
3610	之后，在昂古莱姆伯爵查理遇袭期间，理查德加入了阿德玛麾下。	Later, during the attack on Andrew, Count of Angoulême, Richard would be Adhemar's troops.	Later, during the attack on Charles, Count of Angoulême, Richard joined Adema.	Later, Richard would be Adhemar's forces during the attack on Andrew, count of Angoulême.	Later, during the attack on Andrew, Count of Angoulême, Luke would be Adhemar's troops.	Later, during the attack on Brian, Count of Angoulême, Richard joined Adema.
5390	奥立佛·高德史密斯是诗人、剧作家和作家罗伯特·高德史密斯的祖父，据普里奥尔所说，他是这个家族第一个在 Ballyoughter 定居的人。	Oliver Goldsmith, the grandfather of the poet, playwright and writer Robert Goldsmith, was, according to Prior, the first of the family to settle in Ballyoughter.	Oliver Goldsmith was the grandfather of poet, playwright and author Robert Goldsmith and, according to Prior, was the first of the family to settle in Ballyoughter.	According to Prior, Oliver Goldsmith the grandfather of the poet, playwright and novelist Robert Goldsmith was the first of the family to settle at Ballyoughter.	Oliver Goldsmith, the grandfather of the poet, playwright and writer Edward Goldsmith, was, according to Prior, the first of the family to settle in Ballyoughter.	Bryan Goldsmith was the grandfather of poet, playwright and author Robert Goldsmith and, according to Prior, was the first of the family to settle in Ballyoughter.
2504	2016 年 11 月 13 日，大卫·马查多在晓臣市附近的福克斯·格罗夫公园谋杀了副手丹尼斯·华莱士。	On November 13, 2016, Deputy Dennis Wallace was murdered in Fox Grove Park near the City of Hughson by David Machado.	On November 13, 2016, David Machado murdered his deputy, Dennis Wallace, in Fox Grove Park, near Hillson.	On 13 November 2016, David Machado murdered Dennis Wallace in Fox Grove Park near the city of Hughson.	On November 13, 2016, Deputy Dennis Shawn was murdered in Fox Grove Park near the City of Hughson by David Machado.	On November 13, 2016, David Machado murdered his deputy, Dennis Derek, in Fox Grove Park, near Hillson.
1242	他娶了伊丽莎白·杨 (1854-1932 年)，并且是轮船大亨托马斯·费恩利和地主 N·O·杨·费恩利的父亲。	He was married to Elisabeth Young (1854 -- 1932) and was the father of the ship's magnate Thomas Fearnley and landowner N. O. Young Fearnley.	He married Elizabeth Young (1854-1932) and was the father of Thomas Fearnley, a steamship tycoon, and N.O. Young Fearnley, a landowner.	He was married to Elisabeth Young (1854 -- 1932) and was the father of shipping magnate Thomas Fearnley and landowner N. O. Young Fearnley.	He was married to Elisabeth Dustin (1854 -- 1932) and was the father of the ship's magnate Thomas Fearnley and landowner N. O. Dustin Fearnley.	He married Elizabeth Chad (1854-1932) and was the father of Thomas Fearnley, a steamship tycoon, and N.O. Chad Fearnley, a landowner.
5512	布伦达·舒尔茨分别以 6 -- 4、1 -- 6、7 -- 6 的成绩击败艾琳娜·斯皮尔利亚。	Brenda Schultz defeated Irina Spîrlea 6 -- 4, 1 -- 6, 7 -- 6.	Brenda Schultz beat Elena Spielia 6-4, 1-6, 7-6.	Brenda Schultz defeated Irina Spîrlea with 6 -- 4, 1 -- 6, 7 -- 6.	Erin Schultz defeated Irina Spîrlea 6 -- 4, 1 -- 6, 7 -- 6.	Julie Schultz beat Elena Spielia 6-4, 1-6, 7-6.
6916	贡纳·汉森表示：“根据托比和金姆的说法，他佩戴面具的原因在于这个面具确实决定他的性格。	Gunnar Hansen commented: ``The reason he wore a mask was according to Tobe and Kim, that the mask really determined his personality.	Gunnar Hansen said: "According to Toby and Kim, the reason he wears the mask is that it really defines his character.	Gunnar Hansen commented: ``The reason he wore a mask, according to Tobe and Kim, was that the mask really determined his personality.	Gunnar Jayden commented: ``The reason he wore a mask was according to Tobe and Kim, that the mask really determined his personality.	Gunnar Bryan said: "According to Toby and Kim, the reason he wears the mask is that it really defines his character.
3838	若纳唐·达斯涅雷斯·德韦吉以 7 - 6、7 - 6 战胜安德烈·库兹涅佐夫赢得了决赛。	Jonathan Dasnières de Veigy won the final 7 - 6, 7 - 6 against Andrey Kuznetsov.	Jonathan Dasnieres Dveghi won the final with a 7-6, 7-6 victory over Andrei Kuznetsov.	Jonathan Dasnières de Veigy won the final with 7-6, 7-6 against Andrey Kuznetsov.	Jesse Dasnières de Veigy won the final 7 - 6, 7 - 6 against Andrey Kuznetsov.	Shawn Dasnieres Dveghi won the final with a 7-6, 7-6 victory over Andrei Kuznetsov.
2936	史蒂夫·惠特利 7 月首次出场。他带领哈珀·惠特利和加雷特·惠特利走上犯罪道路，本尼·卡梅隆是他的哥哥。	Steve Whitley first appeared in early July. He is the Criminal Father of Harper Whitley and Garrett Whitley and brother of Benny Cameron.	Steve Whitley made his first appearance in July. He led Harper Whitley and Garrett Whitley down the road of crime, and Benny Cameron was his older brother.	In early July, Steve Whitley, the criminal father of Harper Whitley and Garrett Whitley, and brother of Benny Cameron.	Steve Whitley first appeared in early July. He is the Criminal Father of Harper Whitley and Scott Whitley and brother of Benny Cameron.	Jackson Whitley made his first appearance in July. He led Harper Whitley and Garrett Whitley down the road of crime, and Benny Cameron was his older brother.
