1100	曲はマイケル・バインホルムをドラムに迎え、トミー・リーによって製作された。	The tracks were produced by Tommy Lee, and feature Michael Beinhorn on drums.	The song was produced by Tommy Lee with Michael Weinholm on drums.	The tracks were produced by Tommy Lee and by Michael Beinhorn on drums.	The tracks were produced by Justin Lee, and feature Michael Beinhorn on drums.	The song was produced by Tommy Alexander with Michael Weinholm on drums.
5390	オリバー・ゴールドスミスは、詩人、脚本家、作家であるロバート・ゴールドスミスの祖父母であり、プリールによると、バローターに定住した最初の一家です。	Oliver Goldsmith, the grandfather of the poet, playwright and writer Robert Goldsmith, was, according to Prior, the first of the family to settle in Ballyoughter.	Oliver Goldsmith is the grandparent of poet, playwright and author Robert Goldsmith and, according to Prill, the first family to settle in Valor.	According to Prior, Oliver Goldsmith the grandfather of the poet, playwright and novelist Robert Goldsmith was the first of the family to settle at Ballyoughter.	Oliver Goldsmith, the grandfather of the poet, playwright and writer Chad Goldsmith, was, according to Prior, the first of the family to settle in Ballyoughter.	David Goldsmith is the grandparent of poet, playwright and author Robert Goldsmith and, according to Prill, the first family to settle in Valor.
2572	アームストロング著のミステリー小説、「Detection Unlimited」の登場人物はジョージェット・ヘイヤーと比較される。	A character in ``Detection Unlimited '', a mystery novel written by Armstrong, is compared to Georgette Heyer.	A character in Armstrong's mystery novel Detection Unlimited has been compared to Georgette Heyer.	In ``Detection Unlimited '', a mystery novel written by Armstrong, a character is compared to Georgette Heyer.	A character in ``Detection Unlimited '', a mystery novel written by Armstrong, is compared to Maria Heyer.	A character in Armstrong's mystery novel Detection Unlimited has been compared to Megan Heyer.
4277	彼はシメオンから数え始めてベンジャミンを含め、最初からカウントを続けた。	He began to count from Simeon, and included Benjamin, and continued the count from the beginning.	He began counting from Simeon and continued counting from the beginning, including Benjamin.	He began to count Simeon, and included Benjamin and continued the count from the beginning.	He began to count from Simeon, and included Evan, and continued the count from the beginning.	He began counting from Simeon and continued counting from the beginning, including Jordan.
5568	2018 年にファレルはフランシス法王によりオソリーの新しい司教に任命された。	In 2018 Farrell was appointed as the new Bishop of Ossory by Pope Francis.	In 2018 Farrell was appointed the new bishop of Ossory by Pope Francis.	In 2018, Farrell was appointed by Pope Francis as a new bishop of Ossory.	In 2018 Farrell was appointed as the new Bishop of Ossory by Pope Aaron.	In 2018 Luis was appointed the new bishop of Ossory by Pope Francis.
4417	ルウェリン・ウィリアムズとして知られているウィリアム・ルウェリン・ウィリアムズ (1867 年 3 月 10 日 - 1922 年 4 月 22 日) は、ウェールズ人ジャーナリスト、弁護士、および自由党の急進的な政治家でした。	William Llewelyn Williams known as Llewelyn Williams (10 March 1867 -- 22 April 1922), was a Welsh journalist, lawyer and radical Liberal Party politician.	William Llewellyn Williams (10 March 1867 – 22 April 1922), known as Llewellyn Williams, was a Welsh journalist, lawyer, and radical politician of the Liberal Party.	William Williams, known as Llewelyn Williams (March 10, 1867 -- April 22, 1922), was a Welsh journalist, lawyer, and radical Liberal party politician.	William Llewelyn Mark known as Llewelyn Mark (10 March 1867 -- 22 April 1922), was a Welsh journalist, lawyer and radical Liberal Party politician.	William Llewellyn Noah (10 March 1867 – 22 April 1922), known as Llewellyn Noah, was a Welsh journalist, lawyer, and radical politician of the Liberal Party.
7482	そのエピソードはトニー・ゴールドウインが監督、マット・バーンズとマーク・フィッシュが脚本を担当した。	The episode was addressed by Tony Goldwyn and written by Matt Byrne and Mark Fish.	The episode was directed by Tony Goldwyn and written by Matt Burns and Mark Fish.	The episode was written by Matt Byrne and Mark Fish and directed by Tony Goldwyn.	The episode was addressed by Tony Goldwyn and written by Matt Byrne and Cameron Fish.	The episode was directed by Tony Goldwyn and written by Matt Burns and Peter Fish.
1384	「Everything But You」はドン・ジョージ作曲、デューク・エリントンとハリー・ジェイムス作詞の 1945 年の曲である。	``Everything But You ''is a song of 1945, composed by Don George, written by Duke Ellington and Harry James.	"Everything But You" is a 1945 song with music by Don George and lyrics by Duke Ellington and Harry James.	``Everything But You ''is a 1945 song composed by Don George with lyrics written by Duke Ellington and Harry James.	``Everything But You ''is a song of 1945, composed by Don George, written by Duke Ellington and Harry Logan.	"Everything But You" is a 1945 song with music by Luis George and lyrics by Duke Ellington and Harry James.
1320	2017 年 8 月、アルリ・チャクラパニもチームに加わり、プロデューサーのプラカーシュ・ラージ役も演じました。	In August 2017, Aluri Chakrapani also joined the team to play the role of producer Prakash Raj as well.	In August 2017, Arli Chakrapani also joined the team, also playing the role of producer Prakash Raj.	Aluri Chakrapani also joined the team in August 2017, to allegedly play the role of producer Prakash Raj.	In August 2017, Aluri Chakrapani also joined the team to play the role of producer Prakash Edward as well.	In August 2017, Arli Chakrapani also joined the team, also playing the role of producer Prakash William.
6294	2 ベンジャミン・ホウは 1806 年 8 月 29 日にジェファーソン群治安判事のスティーブン・フォードの立ち合いの下、エリザベス・コアと結婚した。	``2 ''Benjamin Hough was married on August 29, 1806 by Stephen Ford, Justice of Peace, in Jefferson County with Elizabeth Core.	2 Benjamin Hough married Elizabeth Core on 29 August 1806 in the presence of Jefferson County Magistrate Stephen Ford.	Benjamin Hough was to married Elizabeth Core on August 29, 1806, by Stephen Ford, justice of the Peace, in Jefferson County.	``2 ''Benjamin Hough was married on August 29, 1806 by Stephen Kevin, Justice of Peace, in Jefferson County with Elizabeth Core.	2 Benjamin Hough married Elizabeth Core on 29 August 1806 in the presence of Jefferson County Magistrate Stephen Paul.
1728	彼はクラランス・パジット卿、アルフレッド・パジット卿、ジョージ・パジット卿と異母 (異父) 兄弟である。	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.	He is the half-brother of Sir Clarence Pugitt, Sir Alfred Pugitt and Sir George Pugitt.	He was the half-brother of Lord Clarence Paget, Lord Alfred Paget and Lord George Paget.	He is the half-brother of Lord Clarence Paget, Lord Alexander Paget, and Lord George Paget.	He is the half-brother of Sir Clarence Pugitt, Sir Alfred Pugitt and Sir Ryan Pugitt.
5362	彼らの子供たちは、ディアドラ・ハウリーと結婚したバーバラ、グラディス・アイゼンシュタット、ハーバート・コーエンと結婚したイラ・アイゼンシュタット、マービン・アイゼンシュタットと結婚したエレン・アイゼンシュタットです。	Their children were Barbara, who married Deirdre Howley, Gladys Eisenstadt, Ira Eisenstadt, who married Herbert Cohen and Ellen Eisenstadt, married Marvin Eisenstadt.	Their children are Barbara, who married Deirdre Howley, Gladys Eisenstaedt, Ira Eisenstaedt, who married Herbert Cohen, and Ellen Eisenstaedt, who married Marvin Eisenstaedt.	Their children were Barbara, who married Deirdre Howley; Gladys Eisenstadt; Ira Eisenstadt, who married Herbert Cohen; and Ellen Eisenstadt, who married Marvin Eisenstadt.	Their children were Barbara, who married Deirdre Howley, Gladys Eisenstadt, Ira Eisenstadt, who married Herbert Cohen and Megan Eisenstadt, married Marvin Eisenstadt.	Their children are Barbara, who married Deirdre Howley, Gladys Eisenstaedt, Ira Eisenstaedt, who married Adrian Cohen, and Ellen Eisenstaedt, who married Marvin Eisenstaedt.
1267	2009 年に、アントニオ アントニオはアジア コンチネンタル チェス選手権で 3 位になり、2009 年の後半にフィリピンで選手として史上初めてワールド カップの出場資格を満たしました。	In 2009, Antonio Antonio became third player in Asia - Continental - Chess - Championship and was the first player in the history of the Philippines to qualify for the World Cup later in 2009.	In 2009, Antonio Antonio placed third in the Asian Continental Chess Championship and later in 2009 became the first ever Philippines player to qualify for the World Cup.	Antonio finished third in the 2009 Asia Continental Chess Championship and became the first player in the Philippines' history to qualify for the World Cup later in 2009.	In 2009, Jesse Jesse became third player in Asia - Continental - Chess - Championship and was the first player in the history of the Philippines to qualify for the World Cup later in 2009.	In 2009, David David placed third in the Asian Continental Chess Championship and later in 2009 became the first ever Philippines player to qualify for the World Cup.
6345	ロバート・ビンセント・ゴールズボローは、建築家ロバート・ゴールズボローとウィルマ (ヤナーク) ゴールズボローの息子として 1937 年 10 月 3 日にシカゴで生まれました。	Robert Vincent Goldsborough was born October 3, 1937, in Chicago, the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.	Robert Vincent Goldsborough was born in Chicago on October 3, 1937, the son of architects Robert Goldsborough and Wilma (Janark) Goldsborough.	Vincent Goldsborough was born in Chicago on October 3, 1937, the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.	Robert Bradley Goldsborough was born October 3, 1937, in Chicago, the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.	Anthony Vincent Goldsborough was born in Chicago on October 3, 1937, the son of architects Anthony Goldsborough and Wilma (Janark) Goldsborough.
4674	ウィスコンシン州グリーンベイの Lovey and Dude Romeo はオンラインと YouTube - ビデオ Puli Praying で広く公開されている。オリジナル版はペンシルベニア州ピッツバーグである。	Lovey and Dude Romeo of Green Bay Wisconsin have published extensively online and in YouTube - Videos Puli PrayingOriginally from Pittsburgh Pennsylvania.	Lovey and Dude Romeo of Green Bay, Wisconsin are widely shared online and on YouTube - Video Puli Praying. The original is Pittsburgh, Pennsylvania.	Lovey and Dude Romeo of Green Bay Wisconsin have appeared extensively online and in YouTube videos Puli PrayingOriginally from Pittsburgh Pennsylvania.	Lovey and Dude Kenneth of Green Bay Wisconsin have published extensively online and in YouTube - Videos Puli PrayingOriginally from Pittsburgh Pennsylvania.	Lovey and Dude Caleb of Green Bay, Wisconsin are widely shared online and on YouTube - Video Puli Praying. The original is Pittsburgh, Pennsylvania.
6454	19 世紀に批判はさらに広まり、バロック評論家のジョン・ラスキンは、英国の彫刻は下手であるだけでなく、道徳的にも崩壊していると力説しました。	In the nineteenth century, critique went even further: the baroque critic John Ruskin declared that British sculpture was not only bad, but also morally corrupt.	Criticism became more widespread in the 19th century, when Baroque critic John Ruskin asserted that British sculpture was not only bad, but morally corrupt.	In the 19th century, criticism went even further; the baroque critic John Ruskin declared that British sculpture was not only bad, but also morally corrupt.	In the nineteenth century, critique went even further: the baroque critic Angel Ruskin declared that British sculpture was not only bad, but also morally corrupt.	Criticism became more widespread in the 19th century, when Baroque critic Cameron Ruskin asserted that British sculpture was not only bad, but morally corrupt.
4134	4 回目は、1826 年 5 月以降のある時点においてトーマス・キッテラの退任によって生じました。ジョセフ・ヘンプヒルがその穴を埋めました。	The fourth was in the caused by the resignation of Thomas Kittera sometime after May, 1826, filled by Joseph Hemphill.	The fourth occurred with the retirement of Thomas Kittella at some point after May 1826. Joseph Hemphill filled that void.	The fourth was filled by the resignation of Thomas Kittera sometime after May 1826 by Joseph Hemphill.	The fourth was in the caused by the resignation of Thomas Kittera sometime after May, 1826, filled by Michael Hemphill.	The fourth occurred with the retirement of Thomas Kittella at some point after May 1826. Jonathan Hemphill filled that void.
1485	Kapp と MCA は、シェールが 70 年代に大きな成功を収めたレーベルで、1974 年まで在籍していました。	Kapp and MCA were the labels with which Cher had more success in the seventies and she remained with them until 1974.	Kapp and MCA were Cher's most successful labels in the '70s, where he remained until 1974.	Capp and MCA were the labels with which Cher had more success in the seventies and remained with them until 1974.	Kapp and MCA were the labels with which Jennifer had more success in the seventies and she remained with them until 1974.	Kapp and MCA were Brianna's most successful labels in the '70s, where he remained until 1974.
4515	彼女は、バル、ボリス、ロザリンド・ローウィンの母になり、彼女の娘は心理学教授でした。	She became the mother of Val, Boris and Rosalind Lorwin, her daughter was professor of psychology.	She became the mother of Bal, Boris and Rosalind Lorwyn, and her daughter was a psychology professor.	She became the mother of Val, Boris and Rosalind Lorwin. Her daughter was a psychology professor.	She became the mother of Val, Jose and Rosalind Lorwin, her daughter was professor of psychology.	She became the mother of Bal, Michael and Rosalind Lorwyn, and her daughter was a psychology professor.
2977	「Trust in Me」は、ネッド・ウェバー、 ミルトン・エイジャー、ジーン・シュワルツが作った曲である。	``Trust in Me ''is a song that was written by Ned Wever, Milton Ager and Jean Schwartz.	"Trust in Me" is a song written by Ned Webber, Milton Ager and Gene Schwartz.	``Trust in Me ''is a song by Jean Schwartz, Milton Ager and Ned Wever written.	``Trust in Me ''is a song that was written by Ned Wever, Milton Ager and Julia Schwartz.	"Trust in Me" is a song written by Ned Webber, Liam Ager and Gene Schwartz.
4635	同時に、トンはローマ教皇フランシスコにあと 3 年間、香港の司教を続けてもらえないか頼みました。	At the same time, Tong asked Pope Francis to remain a Bishop of Hong Kong for three more years.	At the same time, Tong asked Pope Francis to continue as bishop of Hong Kong for three more years.	At the same time, Tong asked Pope Francis to remain Bishop of Hong Kong for three more years.	At the same time, Tong asked Pope Scott to remain a Bishop of Hong Kong for three more years.	At the same time, Tong asked Pope Nathaniel to continue as bishop of Hong Kong for three more years.
5331	彼の父は彼が若い頃に亡くなり、彼の母、キャサリン・A・フェイガンは 1842 年にサミュエル・アダムズと再婚した。アダムズは 2 年後にアーカンソー州知事となった。	His father died during his youth and his mother, Catherine A. Fagan, in 1842 married Samuel Adams, who became Governor of Arkansas two years later.	His father died when he was young, and his mother, Catherine A. Fagan, remarried Samuel Adams in 1842. Adams became governor of Arkansas two years later.	His father died in his youth, and his mother, Catherine A. Fagan, married Samuel Adams in 1842, who two years later became the governor of Arkansas.	His father died during his youth and his mother, Catherine A. Fagan, in 1842 married Samuel Cameron, who became Governor of Arkansas two years later.	His father died when he was young, and his mother, Catherine A. Fagan, remarried Bryan Adams in 1842. Adams became governor of Arkansas two years later.
3546	サマーズはチャールズ・コークス (初代サマーズ男爵) と、リチャード・エリオットの娘、エリザベスの息子である	Somers was the son of Charles Cocks, 1st Baron Somers, and Elizabeth, the daughter of Richard Eliot.	Summers was the son of Charles Cokes, 1st Baron Summers, and Elizabeth, daughter of Richard Elliott.	Somers was the son of Charles Cocks, 1st Baron Somers, and Elizabeth, daughter of Richard Eliot.	Somers was the son of Charles Cocks, 1st Baron Somers, and Julia, the daughter of Richard Eliot.	Summers was the son of Charles Cokes, 1st Baron Summers, and Amy, daughter of Richard Elliott.
7522	イギリスの支持者はカタウバ川の西側に陣を構え、一方チャールズ・コーンウォリス将軍は東側に陣を構えた。	The loyalists had camped on the west side of the Catawba River, while the army of General Charles Cornwalli camped on the east side.	British supporters took up positions to the west of the Catawba River, while General Charles Cornwallis took up positions to the east.	The Loyalists were camped on the west side of the Catawba River while General Charles Cornwallis' army had camped on the east side.	The loyalists had camped on the west side of the Catawba River, while the army of General Jose Cornwalli camped on the east side.	British supporters took up positions to the west of the Catawba River, while General William Cornwallis took up positions to the east.
1466	BBC カレッジ・オブ・ジャーナリズムは主幹にケヴィン・マーシュ、初代学長にヴィン・レイを迎え、2005 年 6 月に E-ラーニングシリーズとして開校した。	The BBC College of Journalism was opened in June 2005 as an E-Learning series with Kevin Marsh as Executive Editor, the first director of which was Vin Ray.	The BBC College of Journalism opened as an e-learning series in June 2005, with Kevin Marsh as Chief Executive and Vin Ray as its first Chancellor.	The BBC College of Journalism was opened as an e-learning course series in June 2005, with Kevin Marsh as Executive Editor. Its first Director was Vin Ray.	The BBC College of Journalism was opened in June 2005 as an E-Learning series with Kevin Marsh as Executive Editor, the first director of which was Vin Benjamin.	The BBC College of Journalism opened as an e-learning series in June 2005, with Kevin Marsh as Chief Executive and Vin David as its first Chancellor.
2137	ジュールズ・ホーランドとマクウェンは 1995 年に離婚し、その後彼女はミュージシャンのネッド・ランブトンと結婚している	Jools Holland and McEwen were divorced in 1995 and since then she has married the musician Ned Lambton.	Jules Holland and Mcwen divorced in 1995, after which she married musician Ned Lambton.	Jools Holland and McEwen divorced in 1995. She has since married the musician, Ned Lambton.	Jools Michelle and McEwen were divorced in 1995 and since then she has married the musician Ned Lambton.	Jules Holland and Mcwen divorced in 1995, after which she married musician Aaron Lambton.
7034	シェール・アハメド・アクンザダ (別称はシェール・ムハンマド・アクンザダ) は部族指導者で、2001 年から 2005 年までアフガニスタンのヘルマンド州知事を務めました。	Sher Ahmed Akhundzada (also known as Sher Mohammed Akhundzada) is a tribal leader who was the Governor of Helmand in Afghanistan between 2001 and 2005.	Sher Ahmed Akunzada (also known as Sher Muhammad Akunzada) is a tribal leader who served as Governor of Helmand Province in Afghanistan from 2001 to 2005.	Sher Mohammed Akhundzada (also known as Sher Ahmed Akhundzada) is a tribal leader who from 2001 to 2005 was Governor of Helmand in Afghanistan.	Sher Ahmed Akhundzada (also known as Sher Bryan Akhundzada) is a tribal leader who was the Governor of Helmand in Afghanistan between 2001 and 2005.	Sher Ahmed Akunzada (also known as Sher Benjamin Akunzada) is a tribal leader who served as Governor of Helmand Province in Afghanistan from 2001 to 2005.
2217	ヒュー・L・スコットはカーペンター中尉に L 中隊(カイオワ族、コマンチェ族、アパッチ族から成る) を第 7 騎兵隊に合流させるため編成し、指揮するように命じた。	Hugh L. Scott had handpicked Lieutenant Carpenter to organize and command Troop L (composed of Kiowa, Comanche, and Apache Indians) for the 7th Cavalry.	Hugh L. Scott ordered Lieutenant Carpenter to organize and direct L Company (composed of Kiowa, Comanche, and Apache) to join the 7th Cavalry.	Hugh L. Scott had handpicked Lieutenant Carpenter to organize and command Troop L (consisting of Kiowa, Comanche, and Apache - Indians) for the 7th Cavalry.	Hugh L. Jordan had handpicked Lieutenant Carpenter to organize and command Troop L (composed of Kiowa, Comanche, and Apache Indians) for the 7th Cavalry.	Hugh L. Jason ordered Lieutenant Carpenter to organize and direct L Company (composed of Kiowa, Comanche, and Apache) to join the 7th Cavalry.
3708	有名で頻繁に作られる曲には、バンドの初期メンバーであるアラン・ウィルキンソンがリクエストした「ハートルプール・モンキー」などがある。	Known and often written songs include ``The Hartlepool Monkey '', requested by Alan Wilkinson, an early member of the band.	Famous and frequently written songs include "Hartlepool Monkey", requested by early band member Alan Wilkinson.	Well known, and often written songs include ``The Hartlepool Monkey ''requested by Alan Wilkinson, an early member of the band.	Known and often written songs include ``The Hartlepool Monkey '', requested by Kevin Wilkinson, an early member of the band.	Famous and frequently written songs include "Hartlepool Monkey", requested by early band member Jack Wilkinson.
4227	彼は数学において、ルーカス (マーティン・ハンセン) とともに名高いカーネギー・スカラーシップを受けています。	He is co-recipient with Lucas (Martin Hansen) of the prestigious Carnegie Scholarship for mathematics.	He holds the prestigious Carnegie Scholarship in Mathematics with Lucas (Martin Hansen).	He is co-recipient of the renowned Carnegie Scholarship for Mathematics with Lucas (Martin Hansen).	He is co-recipient with Joshua (Martin Hansen) of the prestigious Carnegie Scholarship for mathematics.	He holds the prestigious Carnegie Scholarship in Mathematics with Lucas (Martin Christopher).
6551	土地の所有者はその時点でレスリー・ヴァーノン・カルカット氏で、彼はジョンソン氏との 99 年の賃貸に合意していた。	The owner of the land at that time was Mr Leslie Vernon Calcutt, and he agreed a 99-year lease with Mr Johnson.	The owner of the land at that time was Mr. Leslie Vernon Calcutt, who had agreed to a 99-year lease with Mr. Johnson.	At that time, the owner of the country was Mr Leslie Vernon Calcutt, and he agreed a 99-year rent with Mr Johnson.	The owner of the land at that time was Mr Leslie Vernon Calcutt, and he agreed a 99-year lease with Mr Jeremy.	The owner of the land at that time was Mr. Leslie Vernon Calcutt, who had agreed to a 99-year lease with Mr. Zachary.
6948	アンドリュー・マクレナン、本名アンドリュー・スノイドは、ニュージーランドのミュージシャン、歌手、作詞家です。	Andrew McLennan born Andrew Snoid is a New Zealand musician, singer, and songwriter.	Andrew McLennan, real name Andrew Snoid, is a New Zealand musician, singer and lyricist.	Andrew McLennan Andrew Snoid is a New Zealand musician, songwriter and singer.	Aaron McLennan born Aaron Snoid is a New Zealand musician, singer, and songwriter.	Luke McLennan, real name Luke Snoid, is a New Zealand musician, singer and lyricist.
4273	Decipium はマルク・ドラフォンテーヌがサマルスキー石から提案する、新しい化学物質の単独名である。	Decipium was the isolated name for a new chemical element proposed by Marc Delafontaine from the mineral samarskite.	Decipium is the sole name for a new chemical substance proposed by Marc Delafontaine from Samarskiite.	Decipium was the isolated term for a new chemical element proposed by Marc Delafontaine from the Mineral Samarskite.	Decipium was the isolated name for a new chemical element proposed by Gregory Delafontaine from the mineral samarskite.	Decipium is the sole name for a new chemical substance proposed by Robert Delafontaine from Samarskiite.
7995	2002 年、この曲は英国のプロデューサー、ヴィンセント・ストームフィールドによりリリースされ、インデペンディエンテによって『スイート・ハーモニー 02』としてカバーされました。	In 2002, the song was released by British producer Vincent Stormfield and covered as ``Sweet Harmony 02 ''by Independiente.	In 2002, the song was released by British producer Vincent Stormfield and covered by Independiente as "Sweet Harmony 02".	In 2002, the song was published by the British producer Vincent Stormfield and covered by Independiente as ''Sweet Harmony 02 ``.	In 2002, the song was released by British producer Patrick Stormfield and covered as ``Sweet Harmony 02 ''by Independiente.	In 2002, the song was released by British producer Aaron Stormfield and covered by Independiente as "Sweet Harmony 02".
792	サマーズは、リチャード・エリオット、初代サマーズ男爵およびチャールズ・コクス、エリザベスの娘の息子です。	Somers was the son of Richard Eliot, the 1st Baron Somers and Charles Cocks, the daughter of Elizabeth.	Summers is the son of Richard Elliot, 1st Baron Summers and Charles Cox, daughter of Elizabeth.	Somers was the son of Richard Eliot, 1st Baron Somers, and Charles Cocks, daughter of Elizabeth.	Somers was the son of Richard Eliot, the 1st Baron Somers and Charles Cocks, the daughter of Monica.	Summers is the son of Richard Elliot, 1st Baron Summers and Lucas Cox, daughter of Elizabeth.
2378	「ドリーム」は 1961 年にコヴェント・ガーデンのロイヤル・オペラ・ハウスで、制作ジョン・ギールグッド、指揮ゲオルグ・ショルティで 1961 年に上演された。	``Dream ''was performed at the Royal Opera House, Covent Garden, in 1961, produced by John Gielgud and conducted by Georg Solti.	"Dream" was performed at the Royal Opera House, Covent Garden in 1961, produced by John Gielgud and conducted by Georg Solti.	``Dream ''was performed in 1961 in the Royal Opera House in Covent Garden, produced by John Gielgud and conducted by Georg Solti.	``Dream ''was performed at the Royal Opera House, Covent Garden, in 1961, produced by Chad Gielgud and conducted by Georg Solti.	"Dream" was performed at the Royal Opera House, Covent Garden in 1961, produced by Nicholas Gielgud and conducted by Georg Solti.
6348	1 年目は、ラルコ・ホイルは彼の叔父でリマに同じ博物館を創設したビクター・ラルコ・ヘレーラからいくつか助言を受け取った。	During that first year, Larco Hoyle received some advice from his uncle, Victor Larco Herrera, a founder of the same museum in Lima.	During the first year, Larco Hoyle received some advice from his uncle, Victor Larco Herrera, who founded the same museum in Lima.	During this first year, Larco Hoyle received some advice from his uncle, Victor Larco Herrera, founder of the same museum in Lima.	During that first year, Larco Hoyle received some advice from his uncle, Alex Larco Herrera, a founder of the same museum in Lima.	During the first year, Larco Hoyle received some advice from his uncle, Kyle Larco Herrera, who founded the same museum in Lima.
3192	マルコム・フレーザーは、1975 年 12 月の連邦選挙でホイットラムに大差で勝利し、エガートンに労働組合運動への貢献に対してナイトの称号を与えるよう進言した。	Malcolm Fraser, who had defeated Whitlam in a landslide at the December 1975 federal election, offered the knighthood to Egerton for service to the trade union movement.	Malcolm Fraser, who won by a large margin over Whitlam in the December 1975 federal election, advised Egerton to be knighted for his services to the trade union movement.	Malcolm Fraser, who had defeated Whitlam in a landslide at the federal election in December 1975, offered Egerton the knighthood for serving the trade union movement.	Patrick Fraser, who had defeated Whitlam in a landslide at the December 1975 federal election, offered the knighthood to Egerton for service to the trade union movement.	Brian Fraser, who won by a large margin over Whitlam in the December 1975 federal election, advised Egerton to be knighted for his services to the trade union movement.
3697	カラム・オブライエン (1982 年 11 月 4 日ニュージーランド生まれ) はケンブリッジのプロのスカッシュ選手である。	Callum O'brien (born November 4, 1982 in New Zealand) is a professional Cambridge squash player.	Callum O'Brien (born 4 November 1982 in New Zealand) is a professional squash player for Cambridge.	Callum O'brien (born 4 November 1982 in New Zealand) is a Cambridge professional squash player.	Alexander O'brien (born November 4, 1982 in New Zealand) is a professional Cambridge squash player.	Zachary O'Brien (born 4 November 1982 in New Zealand) is a professional squash player for Cambridge.
7119	エミリー・アン・ロイド (本名はエミリー・アン・モレリ。1984 年 3 月 27 日生まれ) はアメリカの女優です。	Emily Ann Lloyd (born Emily Ann Morelli on March 27, 1984) is an American actress.	Emily Ann Lloyd (real name Emily Ann Morelli; born March 27, 1984) is an American actress.	Emily Ann Lloyd (born Emily Ann Morelli; March 27, 1984) is an American actress.	Emily Ann Christian (born Emily Ann Morelli on March 27, 1984) is an American actress.	Emily Andrea Lloyd (real name Emily Andrea Morelli; born March 27, 1984) is an American actress.
2162	以前の大臣は、スコットランドの園芸サービスで大英帝国勲章 (MBE) を受け取ったジョン・マッケイ、アリソン・ミュリソン、トム・マボット、ジョン・マクレナン博士です。	Previous secretaries were John MacKay, who received an MBE for Scottish Horticulture services, Alison Murison, Tom Mabbott, and Dr. John MacLennan.	Previous Ministers are John McKay, Alison Mullison, Tom Mabot and Dr John McLennan, who received an MBE in the Horticultural Service of Scotland.	Previous secretaries include John MacKay, who received an MBE for services to Scottish Horticulture, Alison Murison, Tom Mabbott and Dr. John MacLennan.	Previous secretaries were Carlos MacKay, who received an MBE for Scottish Horticulture services, Alison Murison, Tom Mabbott, and Dr. Carlos MacLennan.	Previous Ministers are Jayden McKay, Alison Mullison, Tom Mabot and Dr Jayden McLennan, who received an MBE in the Horticultural Service of Scotland.
6540	リチャード・ギブソンおよび宮廷画家ピーター・レリーによる賞賛を受けて、彼女はジョアン・カーライルと同じほど成功したと見なされています。	Praised by Richard Gibson and court painter Peter Lely, she is considered as successful as Joan Carlile.	Admired by Richard Gibson and court painter Peter Lely, she is considered as successful as Joan Carlisle.	She is praised by Richard Gibson and the court painter Peter Lely and is considered as successful as Joan Carlile.	Praised by Richard Gibson and court painter Noah Lely, she is considered as successful as Joan Carlile.	Admired by Richard Gibson and court painter Peter Lely, she is considered as successful as Joan Caleb.
7563	映画では、ジェンビー・アルマザンがアレックス、ベルナルド・ガルニカ・クルーズがデビッド、ジョナサン・ディアス・アングロがマリアの役を演じている。	The film plays Jembie Almazan as Alex, Bernardo Garnica Cruz as David and Jonathan Diaz Angulo as Maria.	The film stars Jemby Almazán as Alex, Bernardo Garnica Cruz as David, and Jonathan Diaz Angulo as Maria.	The film stars Jembie Almazan as Alex, Bernardo Garnica Cruz as David and Jonathan Diaz Angulo as Maria.	The film plays Jembie Almazan as Alex, Bernardo Garnica Cruz as Adrian and Jonathan Diaz Angulo as Maria.	The film stars Jemby Almazán as Alex, Bernardo Garnica Justin as David, and Jonathan Diaz Angulo as Maria.
2950	シェール・モハンマド・アクンザダ (シェール・アフメド・アクンザダとしても知られている) は、2001 年から 2005 年までアフガニスタンのヘルマンド州知事であった部族指導者である。	Sher Mohammed Akhundzada (also known as Sher Ahmed Akhundzada) is a tribal leader who from 2001 to 2005 was Governor of Helmand in Afghanistan.	Sher Mohammed Akunzada (also known as Sher Ahmed Akunzada) is a tribal leader who was Governor of Helmand Province in Afghanistan from 2001 to 2005.	Sher Ahmed Akhundzada (also known as Sher Mohammed Akhundzada) is a tribal leader who was the governor of Helmand in Afghanistan from 2001 to 2005.	Sher Mohammed Akhundzada (also known as Sher Angel Akhundzada) is a tribal leader who from 2001 to 2005 was Governor of Helmand in Afghanistan.	Sher Mohammed Akunzada (also known as Sher Noah Akunzada) is a tribal leader who was Governor of Helmand Province in Afghanistan from 2001 to 2005.
5398	デビッド・デビッド・ヘイズ・プロフェイターはアナウンサーの役割を果たし、ジェフ・スコットはアカペラの歌唱で聴衆を先導した。	David David Hayes Prophater served as announcer, and Jeff Scott led the audience in an A cappella singing.	David David Hayes Professor played the role of announcer and Jeff Scott led the audience with an a cappella singing.	David Hayes Prophater served as the announcer and Jeff Scott led the audience in a cappella singing.	David David Jonathan Prophater served as announcer, and Jeff Scott led the audience in an A cappella singing.	David David Jack Professor played the role of announcer and Jeff Scott led the audience with an a cappella singing.
