3415	Selon le Bureau de recensement des États-Unis, Southport a une superficie totale de , dont des terres et , ou 0,91 %, est de l'eau.	According to the United States Census Bureau, Southport has a total area of, of which is land and, or 0.91%, is water.	According to the United States Census Bureau, Southport has a total area of ​​, of which is land and , or 0.91%, is water.	According to the United States Census Bureau, Southport has a total area of which land is and, or 0.91%, is water.	According, Southport has a total area of, of which is land and, or 0.91%, is water.	According to the has a total area of ​​, of which is land and, or 0.91%, is water.
2769	Les occupants de l'avion étaient le Lieutenant Colonel Gerald K. Hannaford, le Capitaine Donald Grant Millard et le Capitaine John F. Lorraine.	The occupants of the aircraft were Lieutenant Colonel Gerald K. Hannaford, Captain Donald Grant Millard and Captain John F. Lorraine.	The occupants of the plane were Lieutenant Colonel Gerald K. Hannaford, Captain Donald Grant Millard and Captain John F. Lorraine.	The occupants of the aircraft were Colonel Gerald K. Hannaford, Captain Donald Grant Millard and Captain John F. Lorraine.	The occupants Lieutenant Colonel Gerald K. Hannaford, Captain Donald grant Millard and Captain John F. Lorraine.	The occupants of Colonel Gerald K. Hannaford, Captain Donald grant Millard and Captain John F. Lorraine.
7	Le Timora diarhoda est une espèce de papillon de nuit de la famille des Noctuidae. On le trouve en Afrique, notamment en Afrique du Sud.	Timora diarhoda is a species of moth of the Noctuidae family. It is found in Africa, including South Africa.	Timora diarhoda is a species of moth in the family Noctuidae. It is found in Africa, especially in South Africa.	Diarhoda is a kind of moth of the Noctuidae family. It is found in South Africa including Africa.	Timora Diarhoda moth of the Noctuidae family . It is found in Africa, including South Africa.	Timora moth in the family Noctuidae . It is found in Africa, especially in South Africa.
6560	Llyn Dinas est un lac près de Beddgelert en Gwynedd au nord du Pays de Galles. Il est formé par la rivière Glaslyn.	Llyn Dinas is a lake near Beddgelert, Gwynedd in north Wales. It is formed by the River Glaslyn.	Llyn Dinas is a lake near Beddgelert in Gwynedd in North Wales. It is formed by the Glaslyn River.	Llyn Dinas is a lake near Beddgelert, Gwynedd in North Wales, and is formed by the river Glaslyn.	Lake near Beddgelert, Gwynedd in North Wales . It is formed by the river Glaslyn.	Llyn near Beddgelert in Gwynedd in North Wales . It is formed by the Glaslyn River.
2125	Il a également fait don de 34 000 dollars à Ted Cruz et 7 000 dollars à Mitt Romney, y compris sa campagne présidentielle de 2016.	He also donated $34,000 to Ted Cruz and US $7,000 to Mitt Romney, including his 2016 presidential campaign.	He also donated $34,000 to Ted Cruz and $7,000 to Mitt Romney, including his 2016 presidential campaign.	He also donated US $34,000 to Ted Cruz and US $7,000 to Mitt Romney, including his 2016 presidential campaign.	He to Ted Cruz and us $7,000 to MITT Romney, including his 2016 Presidential campaign.	34,000 to Ted Cruz and $7,000 to MITT Romney, including his 2016 Presidential campaign.
4290	Beaucoup de démons rencontrés par Salomon sont d'origine grecque, égyptienne, juive, chrétienne, arabe et autre.	Many of the demons in Solomon's encounters are of Greek, Egyptian, Jewish, Christian, Arabic, and other traditions.	Many of the demons encountered by Solomon are of Greek, Egyptian, Jewish, Christian, Arab and other origins.	Many of the demons in Solomon's encounters are Greek, Egyptian, Jewish, Christian, Arabic, and other traditions.	Many of the demons of Greek, Egyptian, Jewish, Christian, Arabic, and other traditions.	Many of the are of Greek, Egyptian, Jewish, Christian, Arab and other origins.
4854	En 1781, le gouverneur de Virginie Thomas Jefferson a promu Clark brigadier général et lui a donné le commandement de toutes les milices des comtés du Kentucky et de l'Illinois.	In 1781, Virginia Governor Thomas Jefferson promoted Clark to brigadier general and gave him command of all the militia in the Kentucky and Illinois counties.	In 1781, Virginia Governor Thomas Jefferson promoted Clark to brigadier general and gave him command of all county militias in Kentucky and Illinois.	In 1781, Virginia governor Thomas Jefferson promoted Clark to brigadier general and gave him the orders for all militias in the counties of Kentucky and Illinois.	In Jefferson promoted Clark to brigadier general and gave him command of all the militia in the Kentucky and Illinois counties.	In 1781, Clark to brigadier general and gave him command of all County Militias in Kentucky and Illinois.
6540	Louée par Richard Gibson et le peintre des juges Peter Lely, elle est considérée aussi brillante que Joan Carlile.	Praised by Richard Gibson and court painter Peter Lely, she is considered as successful as Joan Carlile.	Praised by Richard Gibson and Judges painter Peter Lely, she is considered as brilliant as Joan Carlile.	She is praised by Richard Gibson and the court painter Peter Lely and is considered as successful as Joan Carlile.	Praised by painter Peter Lely, she is considered as successful as Joan Carlile.	Praised by Richard Peter Lely, she is considered as brilliant as Joan Carlile.
6541	Certains historiens disent que la classe dirigeante néerlandaise voulait que la Hollande s'intègre dans le système juridique flamand et adopte les institutions économiques flamandes.	Some historians say that the ruling class in Holland wanted Holland to integrate with the Flemish legal system and adopt Flemish economic institutions.	Some historians say that the Dutch ruling class wanted Holland to fit into the Flemish legal system and adopt Flemish economic institutions.	Some historians say that the ruling class in Holland wanted Holland to integrate into the Flemish legal system and adopt Flemish economic institutions.	Some historians say Holland wanted Holland to integrate with the Flemish legal system and adopt Flemish economic institutions.	Dutch ruling class wanted Holland to fit into the Flemish legal system and adopt Flemish economic institutions.
540	Pendant sa présence au DTM, l'Audi V8 rivalisa avec la Mercedes 190 beaucoup plus petite et à peu près plus légère, la BMW M3, l'Opel Omega 3000, légèrement plus petite.	During its presence at DTM the Audi V8 competed with much smaller and about lighter Mercedes 190, BMW M3, and slightly smaller Opel Omega 3000.	During its presence at the DTM, the Audi V8 competed against the much smaller and somewhat lighter Mercedes 190, the BMW M3, the slightly smaller Opel Omega 3000.	The Audi V8 competed with significantly smaller and lighter Mercedes 190, BMW M3 and slightly smaller Opel Omega 3000 during its DTM presence.	During its presence at Dtm smaller and about lighter Mercedes 190, BMW M3, and slightly smaller Opel Omega 3000.	During its presence at the against the much smaller and somewhat lighter Mercedes 190, the BMW M3, the slightly smaller Opel Omega 3000.
2164	La plus grande mosquée, Al Farooq Masjid, dans le quartier Midtown d'Atlanta, se situe sur la 14e route d'Atlanta.	The largest mosque, Al Farooq Masjid of Midtown Atlanta, is located on the 14th road in Atlanta.	The largest mosque, Al Farooq Masjid, in Atlanta's Midtown neighborhood is located on Atlanta's 14th Road.	The largest mosque, Al Farooq Masjid of Midtown Atlanta, is located on 14th Street in Atlanta.	Al Farooq Masjid of Midtown Atlanta, is located on the 14th road in Atlanta.	The largest Masjid, in Atlanta's Midtown neighborhood is located on Atlanta's 14th road.
5850	AleX est une série télévisée italienne. La série a été produite par Giorgio Schottler , Guglielmo Duccoli et Alfredo Castelliet écrite par Videotime .	AleX is an Italian television series. The series was produced by Giorgio Schottler, Guglielmo Duccoli and Alfredo Castelli and written by Videotime.	AleX is an Italian television series. The series was produced by Giorgio Schottler, Guglielmo Duccoli and Alfredo Castelliet written by Videotime.	The Italian television series AleX was produced by Giorgio Schottler, Guglielmo Duccoli and Alfredo Castelli and written by videotime.	Alex is an series was produced by Giorgio Schottler, Guglielmo Duccoli and Alfredo Castelli and written by Videotime.	Series . The series was produced by Giorgio Schottler, Guglielmo Duccoli and Alfredo Castelliet written by Videotime.
1271	À Matanzas, sa culture fut introduite en 1880, par Fernando Heydrich à Cuba.	In Matanzas its cultivation was introduced in 1880, by Fernando Heydrich in Cuba.	In Matanzas, its culture was introduced in 1880, by Fernando Heydrich in Cuba.	Its cultivation was introduced by Fernando Heydrich in Cuba in 1880.	Cultivation was introduced in 1880, by Fernando Heydrich in Cuba.	Its culture was introduced in 1880, by Fernando Heydrich in Cuba.
308	Il est le demi-frère de Lord Clarence Paget, Lord Alfred Paget et Lord George Paget.	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget and Lord George Paget.	He was the half-brother of Lord Alfred Paget, Lord George Paget and Lord Clarence Paget.	Of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.	He of Lord Clarence Paget, Lord Alfred Paget and Lord George Paget.
3628	Ukhrul est également une destination touristique prisée de l'État du Manipur.	Ukhrul is also a tourist hotspot of Manipur state.	Ukhrul is also a popular tourist destination in the state of Manipur.	Ukhrul is also a tourist hotspot in the state of Manipur.	Ukhrul a tourist Hotspot of Manipur state.	Ukhrul is tourist destination in the state of Manipur.
739	Le Merganian type (" Mergus octosetaceus ") est un canard du genre brésilien Mergus.	The typical Merganian (``Mergus octosetaceus '') is a duck in the Brazilian genus Merganser.	The typical Merganian ("Mergus octosetaceus") is a duck of the Brazilian genus Mergus.	The typical merganser (``Mergus octosetaceus '') is a duck in the Brazilian merganser genus.	The typical Octosetaceus ") is a duck in the Brazilian genus Merganser.	The Mergus Octosetaceus ") is a duck of the Brazilian genus Mergus.
5478	Le capitaine Cassin est mort à Washington. Il a été enterré à Washington, mais a ensuite été déplacé au cimetière national d'Arlington.	Captain Cassin died in Washington, D.C. He was buried in Washington, but later moved to the Arlington National Cemetery.	Captain Cassin died in Washington. He was buried in Washington, but was later moved to Arlington National Cemetery.	Captain Cassin died in Washington, D.C.. He was buried in Washington, but later moved to Arlington National Cemetery.	Captain D.C . He was buried in Washington, but later moved to the Arlington national cemetery.	Captain . He was buried in Washington, but was later moved to Arlington national cemetery.
6745	Barshi est un barrage en terre sur la rivière près du barrage de Pathari, district de Solapur, dans l'État du Maharashtra en Inde.	Barshi, is an earth dam on the local river near Pathari Dam, Solapur district in the state of Maharashtra in India.	Barshi is an earth dam on the river near Pathari Dam, Solapur district, Maharashtra state in India.	Barshi, is an earthfill dam on local river near Pathari Dam, Solapur district in the state of Maharashtra in India.	Barshi, is local River near Pathari dam, Solapur district in the state of Maharashtra in India.	Barshi is the river near Pathari dam, Solapur district, Maharashtra state in India.
3698	Schliemann a reconnu cinq puits et les a dégagés comme les tombes mentionnées par Pausanias.	Schliemann recognized five shafts and cleared them as the graves mentioned by Pausanias.	Schliemann recognized five shafts and excavated them as the tombs mentioned by Pausanias.	Schliemann detected five shafts and cleared them as the graves mentioned by Pausanias.	Schliemann recognized cleared them as the graves mentioned by Pausanias.	Schliemann and Excavated them as the tombs mentioned by Pausanias.
2100	Dix jours plus tard, il a été échangé avec Aaron Heilman pour les Seattle Mariners et Ronny Cedeño.	Just 10 days later he was traded together with Aaron Heilman to the Seattle Mariners for Ronny Cedeño.	Ten days later, he was traded along with Aaron Heilman to the Seattle Mariners and Ronny Cedeño.	Just 10 days later, he was traded along with Aaron Heilman to the Seattle Mariners for Ronny Cedeño.	He was traded together with Aaron Heilman to the Seattle Mariners for Ronny Cedeño.	Ten was traded along with Aaron Heilman to the Seattle Mariners and Ronny Cedeño.
4809	En 2012, Gil rejoignit le programme télévisé - Remake of the Salvador - Royales - Films "Mundo Man ay Magunaw" dans le rôle de Jennifer la Pena.	In 2012, Gil became part of the TV - Remake of the Salvador - Royales - Films ''Mundo Man ay Magunaw ``as Jennifer la Pena.	In 2012, Gil joined the television program - Remake of the Salvador - Royales - Films "Mundo Man ay Magunaw" in the role of Jennifer la Pena.	In 2012, Gil became part of the TV remake of the Salvador Royales film ``Mundo Man ay Magunaw ''as Jennifer la Pena.	Of the TV - remake of the Salvador - Royales - films "Mundo man AY Magunaw "as Jennifer La Pena.	In 2012, Gil of the Salvador - Royales - films "Mundo man AY Magunaw "in the role of Jennifer La Pena.
7472	McMillan passa deux ans à la Royal Medical Corp. à Tidworth -- et plus tard à Didcot, où il dirigea un MRS pour les soldats qui furent blessés pendant la guerre de Corée.	McMillan spent two years at the Royal Medical Corp. in Tidworth -- and later at Didcot, where he led an MRS for soldiers who were injured in the Korean War.	McMillan spent two years in the Royal Medical Corps. at Tidworth -- and later at Didcot, where he ran an MRS for soldiers who were wounded in the Korean War.	McMillan spent two years in the Royal Medical Corp. at Tidworth -- and later at Didcot, where he ran an MRS for soldiers injured in the Korean War.	Mcmillan spent two in Tidworth--and later at Didcot, where he led an Mrs for soldiers who were injured in the Korean war.	Mcmillan Corps . At Tidworth--and later at Didcot, where he ran an Mrs for soldiers who were wounded in the Korean war.
1021	On le trouve en Indonésie sur l'île de Salawati et sur la péninsule du bird cop dans la province de Papua, en Indonésie.	It is found in Indonesia on the island Salawati and on the bird cop peninsula in the province of Papua, Indonesia.	It is found in Indonesia on the island of Salawati and on the bird cop peninsula in the province of Papua, Indonesia.	It is found in Indonesia on the island of Salawati and on the Vogelkop Peninsula in Papua Province, Indonesia.	It the island Salawati and on the bird cop peninsula in the province of Papua, Indonesia.	It the island of Salawati and on the bird cop peninsula in the province of Papua, Indonesia.
5597	Née à Vancouver, en Colombie-Britannique, elle a grandi dans la ville voisine de North Vancouver.	Born in Vancouver, British Columbia, she grew up in the neighboring city of North Vancouver.	Born in Vancouver, British Columbia, she grew up in nearby North Vancouver.	Born in Vancouver, British Columbia, she grew up in the neighboring town of North Vancouver.	Born in Vancouver she grew up in the neighboring city of North Vancouver.	Born in Columbia, she grew up in nearby North Vancouver.
6296	Son travail a également été associé à l'école écossaise et à la fiction populaire d'Annie S. Swan.	Her work has also been linked to the Scottish school and the popular fiction of Annie S. Swan.	Her work has also been associated with the Scottish School and the popular fiction of Annie S. Swan.	Her work has also been linked to the Scottish kailyard school and the popular fiction of Annie S. Swan.	Her work has the Scottish school and the popular fiction of Annie S. swan.	Her work has the Scottish school and the popular fiction of Annie S. swan.
6773	La condition 1 implique que les fonctions sont lisses et globalement définies et la condition 2 signifie que l'énergie cinétique de la solution est globalement limitée.	Condition 1 implies that the functions are smooth and globally defined, and condition 2 means that the kinetic energy of the solution is globally limited.	Condition 1 implies that the functions are smooth and globally defined and condition 2 means that the kinetic energy of the solution is globally bounded.	Condition 1 implies that the functions are smooth and globally defined and condition 2 means that the kinetic energy of the solution is globally bounded.	Condition are smooth and globally defined, and condition 2 means that the kinetic energy of the solution is globally limited.	Condition are smooth and globally defined and condition 2 means that the kinetic energy of the solution is globally bounded.
4959	Clovis Kalyebara est né dans le "district de Kabarole", dans le comté de Kichwamba Sub, dans le village de Harugongo, dans l'ouest de l'Ouganda.	Clovis Kalyebara was born in the ``Kabarole District '', Kichwamba Sub County, in the village of Harugongo, Western Uganda.	Clovis Kalyebara was born in "Kabarole District", Kichwamba Sub County, Harugongo Village, Western Uganda.	Clovis Kalyebara was born in ``Kabarole District '', Kichwamba Sub County, in Harugongo Village, Western Uganda.	Clovis Kalyebara Kabarole district ", Kichwamba sub County, in the village of Harugongo, Western Uganda.	Clovis Kalyebara was district ", Kichwamba sub County, Harugongo village, Western Uganda.
7178	" Acoustic and Live : Pure " est sorti début 2003.	``Acoustic and Live: Pure ''was released in early 2003.	"Acoustic and Live: Pure" was released in early 2003.	``Acoustic and Live: Pure ''was released early in 2003.	Live: pure "was released in early 2003.	Live: pure "was released in early 2003.
5437	Deux services quotidiens sont offerts sur la ligne Dearne Valley vers York et Sheffield.	Two services daily operate on the Dearne Valley line to York and Sheffield.	Two daily services are offered on the Dearne Valley line to York and Sheffield.	Two lines operate on the Dearne Valley Line daily to York and Sheffield.	Two services the Dearne Valley line to York and Sheffield.	Are offered on the Dearne Valley line to York and Sheffield.
2002	Le campus Asuza de l'université Asuza Pacific se trouve dans la San Gabriel Valley, au nord-est de Los Angeles.	Azusa Pacific University's Azusa Campus is located in San Gabriel Valley, northeast of Los Angeles.	Azusa Pacific University's Azusa Campus is located in the San Gabriel Valley, northeast of Los Angeles.	The Azusa Campus at Azusa Pacific University is located in San Gabriel Valley, northeast of Los Angeles.	Azusa campus is located in San Gabriel Valley, northeast of Los Angeles.	Azusa campus is located in the San Gabriel Valley, northeast of Los Angeles.
2152	Rashidi n'a pas été inculpé mais il a été rapatrié par les autorités marocaines lorsqu'il a été arrêté.	Rashidi was not charged, but he was repatriated by Moroccan authorities, when he was detained.	Rashidi was not charged but was repatriated by Moroccan authorities when he was arrested.	Rashidi was not charged, but he was repatriated by the Moroccan authorities when he was arrested.	Rashidi but he was Repatriated by Moroccan authorities, when he was detained.	Rashidi but was Repatriated by Moroccan authorities when he was arrested.
1223	Georgetown est également une source d'eau potable pour le lac Georgetown et la ville voisine de Round Rock.	Georgetown is also a source of drinking water for Lake Georgetown and the nearby city of Round Rock.	Georgetown is also a drinking water source for Lake Georgetown and the nearby town of Round Rock.	Georgetown is also a source of drinking water for Lake Georgetown and the nearby Round Rock city.	Georgetown is also water for Lake Georgetown and the nearby city of round rock.	Georgetown is source for Lake Georgetown and the nearby town of round rock.
853	"Shatterer" fut publié le 13 juin 1987 au Japon, où il fut distribué par Toho.	``Shatterer ''was published on 13 June 1987 in Japan, where it was distributed by Toho.	"Shatterer" was released on June 13, 1987 in Japan, where it was distributed by Toho.	``Shatterer ''was released in Japan on 13 June 1987 where it was distributed by Toho.	"Shatterer "June 1987 in Japan, where it was distributed by Toho.	"Shatterer "13, 1987 in Japan, where it was distributed by Toho.
3243	Le groupe se forma en 1999 à Dunwoody, en Géorgie, après que le guitariste Ben Eberbaugh et que le bassiste Jared Swilley ait quitté les Renegades, et que le guitariste Cole Alexander ait quitté les Reruns.	The band formed in 1999 in Dunwoody, Georgia after guitarist Ben Eberbaugh and bassist Jared Swilley left the Renegades, and guitarist Cole Alexander left the Reruns.	The band formed in 1999 in Dunwoody, Georgia, after guitarist Ben Eberbaugh and bassist Jared Swilley left the Renegades, and guitarist Cole Alexander left the Reruns.	The band, founded in 1999 in Dunwoody, Georgia, after guitarist Ben Eberbaugh and bassist Jared Swilley left the Renegades, and guitarist Cole Alexander left the Reruns.	The band formed after guitarist Ben Eberbaugh and Bassist Jared Swilley left the Renegades, and guitarist Cole Alexander left the Reruns.	The band formed in 1999 guitarist Ben Eberbaugh and Bassist Jared Swilley left the Renegades, and guitarist Cole Alexander left the Reruns.
5876	Erginus galkini est une espèce d'escargot de mer, une véritable patelle, un mollusque gastéropode marin de la famille des Lottiidae, l'une des familles de véritables patelles.	Erginus galkini is a species of sea snail, a true limpet, a marine gastropod mollusk in the family Lottiidae, one of the families of true limpets.	Erginus galkini is a species of sea snail, true limpet, a marine gastropod mollusc in the family Lottiidae, one of the families of true limpets.	Erginus galkini is a species of sea snail, a true limpet, a marine gastropodemollusk in the Lottiidae family, one of the families of the true limpets.	Erginus snail, a true Limpet, a Marine Gastropod Mollusk in the family Lottiidae, one of the families of true Limpets.	Sea snail, true Limpet, a Marine Gastropod Mollusc in the family Lottiidae, one of the families of true Limpets.
7031	Le pionnier américain John Sutter (1803-1880) arriva en Haute-Californie avec d'autres colons euro-suisses en août 1839.	The American pioneer John Sutter (1803 -- 1880) arrived in Alta California with other Euro-Swiss settlers in August 1839.	American pioneer John Sutter (1803-1880) arrived in Alta California with other Euro-Swiss settlers in August 1839.	The American pioneer John Sutter (1803 -- 1880) arrived in August 1839 together with other euros - Swiss settlers in Alta California.	Sutter (1803--1880) arrived in Alta California with other Euro-Swiss settlers in August 1839.	American Pioneer) arrived in Alta California with other Euro-Swiss settlers in August 1839.
953	Elle a ajouté que le viol s'était produit peu après l'incident.	She added that the rape occurred shortly after the incident.	She added that the rape happened shortly after the incident.	She added that the rape occurred shortly after the said incident happened.	She the rape occurred shortly after the incident.	That the rape happened shortly after the incident.
824	Le nombre d'incendies signalés début février était de 73, dont 26 hors de contrôle et le temps prévu pour les maîtriser afin d'avoir un nouveau mois d'incendies.	The number of reported fires at the beginning of February was 73 with 26 out of control and expected time to control in order to be another month of fires.	The number of fires reported in early February was 73, with 26 out of control and time expected to bring them under control to have another month of fires.	The number of reported fires in early February was at 73 with 26 out of control, and expected time to be to control another month of fires.	The number of February was 73 with 26 out of control and expected time to control in order to be another month of fires.	The number of 73, with 26 out of control and time expected to bring them under control to have another month of fires.
6937	Pour une formule de fonction mesurable fixe 18, la formule 19 est une variable moyenne avec une formule aléatoire 20 et une formule de variance 21.	For a fixed measurable function formula 18, Formula 19 is a medium variable with random formula 20 and variance formula 21.	For a fixed measurable function formula 18, formula 19 is an average variable with a random formula 20 and a variance formula 21.	For a fixed measurable function formula _ 18, formula _ 19 is a mean variable with random formula _ 20 and variance formula _ 21.	For 18, formula 19 is a medium variable with random formula 20 and variance formula 21.	For a fixed formula 19 is an average variable with a random formula 20 and a variance formula 21.
6360	La route R205 est une route régionale d'Irlande depuis la route R199 dans le comté de Cavan à la frontière de l'Irlande du Nord jusqu'au comté de Leitrim, principalement dans le comté de Fermanagh.	The R205 road is a regional road in Ireland from the R199 road in County Cavan to the Northern Ireland border at County Leitrim, mostly in County Fermanagh.	The R205 road is a regional road in Ireland from the R199 road in County Cavan on the border with Northern Ireland to County Leitrim, mainly in County Fermanagh.	Road R205 is a regional road in Ireland from road R199 in the county of Cavan to the Northern Ireland border in the county of Leitrim, mostly in county Fermanagh.	The R205 Ireland from the R199 road in county Cavan to the northern Ireland border at County Leitrim, mostly in county Fermanagh.	The R205 road from the R199 road in county Cavan on the border with Northern Ireland to County Leitrim, mainly in county Fermanagh.
7072	C'était la seule scène du comté de Tehama jusqu'en 1991 et le seul cinéma public jusqu'en 1993.	It was the only stage in Tehama County until 1991, and provided the only public cinema until 1993.	It was the only theater in Tehama County until 1991 and the only public cinema until 1993.	Until 1991, it was the only stage in Tehama County and until 1993 it offered the only public cinema.	It in Tehama County until 1991, and provided the only public cinema until 1993.	Theater in Tehama County until 1991 and the only public cinema until 1993.
1059	Elle a été retirée du registre des navires de la Marine le 1er avril 1971 et a combattu la même année.	She was scrapped from the Navy Vessel register on April 1, 1971 and beaten in the same year.	She was removed from the Navy ship register on April 1, 1971 and saw combat the same year.	She was scrapped from the Navy Vessel Register on 1 April 1971 and struck in the same year.	She was scrapped register on April 1, 1971 and beaten in the same year.	She was removed register on April 1, 1971 and saw combat the same year.
222	L'archevêque Seóighe a été nommé le 16 mai 1485 et consacré en 1487. Il est mort le 20 ou le 20 décembre 1501.	Archbishop Seóighe was appointed on 16 May 1485 and consecrated in 1487. He died on either the 20 or 20 December 1501.	Archbishop Seóighe was appointed on May 16, 1485 and consecrated in 1487. He died on December 20 or 20, 1501.	Archbishop Seóighe was appointed on May 16, 1485 and consecrated in 1487, died either on December 20 or 20, 1501.	Archbishop Seóighe was appointed Consecrated in 1487 . He died on either the 20 or 20 December 1501.	Archbishop Seóighe was 1485 and Consecrated in 1487 . He died on December 20 or 20, 1501.
4977	McMillan a passé deux ans à la Royal Medical Corp. de Didcot, puis à Tidworth, où il a dirigé un MRS pour les soldats blessés pendant la guerre de Corée.	McMillan spent two years in the Royal Medical Corp. at Didcot -- and later at Tidworth, where he ran an MRS for soldiers injured in the Korean War.	McMillan spent two years at the Royal Medical Corp. from Didcot and then to Tidworth, where he ran an MRS for wounded soldiers during the Korean War.	For two years, McMillan spent at the Royal Medical Corp. in Didcot -- and later in Tidworth, where he run an MRS for soldiers injured in the Korean War.	Mcmillan spent Corp. at Didcot--and later at Tidworth, where he ran an Mrs for soldiers injured in the Korean war.	Mcmillan spent two years Didcot and then to Tidworth, where he ran an Mrs for wounded soldiers during the Korean war.
5761	Il est aussi intéressant de noter que le code suivant fonctionnerait sans ADL (il lui sera appliqué de toute façon).	It is also worth noting that the following code would work without ADL (it will be applied anyway to it).	It's also worth noting that the following code would work without ADL (it will be applied to it anyway).	It is also worth noting that the following code would work without ADL (it is anyway applied to it).	That the following code would work without Adl (it will be applied anyway to it).	It's also code would work without Adl (it will be applied to it anyway).
4210	La route R205 est une route régionale d'Irlande de la route R199 à County Leitrim jusqu'à la frontière irlandaise à County Fermanagh, presque à County Cavan.	The R205 road is a regional road in Ireland from the R199 road in County Leitrim to the Northern Ireland border at County Fermanagh, mostly in County Cavan.	The R205 road is a regional road in Ireland from the R199 road in County Leitrim to the Irish border at County Fermanagh, almost to County Cavan.	Road R205 is a regional road in Ireland from road R199 in the county of Leitrim to the Northern Ireland border in the county of Fermanagh, mostly in county Cavan.	The R205 road is the R199 road in county Leitrim to the northern Ireland border at County Fermanagh, mostly in county Cavan.	Road in Ireland from the R199 road in county Leitrim to the Irish border at County Fermanagh, almost to County Cavan.
4420	Il a été candidat malheureux au poste de juge de la ville de South Bend en 1947, et en 1948 au bureau du procureur du comté de Saint-Joseph.	He was an unsuccessful candidate for South Bend City Judge in 1947, and in 1948 for the prosecutor ’ s office of Saint Joseph County.	He was an unsuccessful candidate for South Bend City Judge in 1947, and in 1948 for the St. Joseph County District Attorney's Office.	He was an unsuccessful candidate in 1947 for South Bend city judge and in 1948 for prosecutor of Saint Joseph County.	For South bend city judge in 1947, and in 1948 for the Prosecutor ’ s office of Saint Joseph County.	He was an city judge in 1947, and in 1948 for the St. Joseph County District Attorney's office.
510	Le Shawnee Trails Council est issu de la fusion du Four Rivers Council et du Audubon Council.	Shawnee Trails Council was formed from the merger of the Four Rivers Council and the Audubon Council.	The Shawnee Trails Council is the result of the merger of the Four Rivers Council and the Audubon Council.	The merger of the Four Rivers Council and the Audubon Council formed the Shawnee Trails Council.	Shawnee from the merger of the four rivers Council and the Audubon Council.	Is the result of the merger of the four rivers Council and the Audubon Council.
436	Le 25 juin 1866, il a été nommé évêque titulaire de " Nisa in Lycia " et évêque de Velletri.	On June 25, 1866, he was appointed titular bishop of ``Nisa in Lycia, and the Bishop of Velletri.	On June 25, 1866, he was appointed titular bishop of "Nisa in Lycia" and bishop of Velletri.	He was appointed as titular bishop of ``Nisa in Lycia ''and auxiliary bishop of Velletri on 25 June 1866.	, he was appointed titular Bishop of "Nisa in Lycia, and the Bishop of Velletri.	On June 25 was appointed titular Bishop of "Nisa in Lycia "and Bishop of Velletri.
2950	Sher Mohammed Akhundzada (également connu sous le nom de Sher Ahmed Akhundzada) est un chef de tribu qui, de 2001 à 2005, a été gouverneur du Helmand en Afghanistan.	Sher Mohammed Akhundzada (also known as Sher Ahmed Akhundzada) is a tribal leader who from 2001 to 2005 was Governor of Helmand in Afghanistan.	Sher Mohammed Akhundzada (also known as Sher Ahmed Akhundzada) is a tribal leader who from 2001 to 2005 served as Governor of Helmand in Afghanistan.	Sher Ahmed Akhundzada (also known as Sher Mohammed Akhundzada) is a tribal leader who was the governor of Helmand in Afghanistan from 2001 to 2005.	Known as Sher Ahmed Akhundzada) is a tribal leader who from 2001 to 2005 was governor of Helmand in Afghanistan.	Sher Mohammed Akhundzada (also is a tribal leader who from 2001 to 2005 served as governor of Helmand in Afghanistan.
3471	En 1937, Gerald Heard a déménagé à Hollywood avec sa femme Maria, son fils Huxley et son ami Matthew Huxley.	In 1937, Gerald Heard moved to Hollywood with his wife Maria, son Huxley, and friend Matthew Huxley.	In 1937 Gerald Heard moved to Hollywood with his wife Maria, son Huxley and friend Matthew Huxley.	In 1937, Gerald Heard moved to Hollywood with his wife Maria, his son Huxley and his friend Matthew Huxley.	In moved to Hollywood with his wife Maria, son Huxley, and friend Matthew Huxley.	In to Hollywood with his wife Maria, son Huxley and friend Matthew Huxley.
3963	Le cimetière de Machpelah, également appelé " cimetière de Macpelah " ou " cimetière de Macphelah ", est un cimetière du comté d'Hudson, New Jersey.	The Machpelah Cemetery, also written as ''Macpelah Cemetery ``or'' Macphelah Cemetery``, is a cemetery in Hudson County, New Jersey.	Machpelah Cemetery, also known as "Macpelah Cemetery" or "Macphelah Cemetery", is a cemetery in Hudson County, New Jersey.	The Machpelah Cemetery, also spelled as ``Macpelah Cemetery '', or`` Macphelah Cemetery'', is a cemetery in Hudson County, New Jersey.	The as "Macpelah cemetery "or "Macphelah cemetery ", is a cemetery in Hudson County, New Jersey.	Machpelah cemetery Macpelah cemetery "or "Macphelah cemetery ", is a cemetery in Hudson County, New Jersey.
2269	Un groupe international indépendant d'experts a étudié l'impact de l'accident et a conclu que personne n'avait été tué ou empoisonné du fait de l'accident.	An international independent group of experts studied the impact of the accident and concluded that no one was killed or poisoned as a result of the accident.	An independent international group of experts studied the impact of the accident and concluded that no one was killed or poisoned as a result of the accident.	An international independent group of experts examined the impact of the accident and concluded that no one was poisoned or killed as a result of the accident.	An international independent group of accident and concluded that no one was killed or poisoned as a result of the accident.	An independent International of the accident and concluded that no one was killed or poisoned as a result of the accident.
